Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
BBLU,"EA Series Trust EA Bridgeway Bl","1997-07-30","Bridgeway","Large Blend","Exchange Traded Fund","-4.84594%","13.450000000000001%","False","7.36482%","10.14%","False","11.12827%","15.76%","False","11.93291%","7.33%","True","0.9984","0.0","$8.45","$7.88","$11.26","$9.10014","True","$9.764586","True","N/A","$8.47"
CSM,"ProShares Large Cap Core Plus","2009-07-12","ProShares","Large Blend","Exchange Traded Fund","-7.4431899999999995%","13.450000000000001%","False","8.01702%","10.14%","False","10.57399%","15.76%","False","12.2939%","7.33%","True","0.9997","0.0","$47.53","$42.1","$54.86","$47.005","False","$46.7353","False","N/A","$47.62"
DEF,"Invesco Defensive Equity ETF","2006-12-14","Invesco","Large Blend","Exchange Traded Fund","0.8195001000000001%","13.450000000000001%","False","6.2222100000000005%","10.14%","False","10.3909105%","15.76%","False","10.234310500000001%","7.33%","True","1.0002999","0.0","$67.0524","$59.14","$72.99","$67.7678","True","$66.08305","False","N/A","$67.05"
DFAC,"Dimensional ETF Trust Dimension","2007-10-03","Dimensional Fund Advisors","Large Blend","Exchange Traded Fund","-3.9432096999999997%","13.450000000000001%","False","9.61239%","10.14%","False","10.3261605%","15.76%","False","11.47479%","7.33%","True","0.9999","0.0","$25.48","$21.99","$28.315","$25.2564","False","$24.64755","False","N/A","$25.48"
DFUS,"Dimensional U.S. Equity ETF","2001-09-24","Dimensional Fund Advisors","Large Blend","Exchange Traded Fund","-7.02359%","13.450000000000001%","False","8.56213%","10.14%","False","11.4343%","15.76%","False","12.30983%","7.33%","True","1.0","0.0","$43.5","$37.96","$50.161","$43.1668","False","$42.6715","False","0.0%","$43.48"
DSI,"iShares MSCI KLD 400 Social ETF","2006-11-13","iShares","Large Blend","Exchange Traded Fund","-9.161919000000001%","13.450000000000001%","False","8.07658%","10.14%","False","11.743670999999999%","15.76%","False","12.2884504%","7.33%","True","0.9961","0.0","$75.4","$64.72","$88.81","$74.818","False","$74.1491","False","0.0%","$75.42"
EPS,"WisdomTree U.S. LargeCap Fund","2007-02-22","WisdomTree","Large Blend","Exchange Traded Fund","-6.0101%","13.450000000000001%","False","7.42357%","10.14%","False","10.5855905%","15.76%","False","11.76874%","7.33%","True","1.0","0.0","$43.272","$37.69","$49.39","$43.0848","False","$42.5023","False","N/A","$43.27"
EQL,"ALPS Equal Sector Weight ETF","2009-07-05","ALPS","Large Blend","Exchange Traded Fund","-2.08664%","13.450000000000001%","False","9.19431%","10.14%","False","10.680729999999999%","15.76%","False","11.35554%","7.33%","True","0.9982","0.0","$98.8548","$86.29","$110.46","$98.9956","True","$97.56585","False","N/A","$98.78"
EUSA,"iShares MSCI USA Equal Weighted","2010-05-04","iShares","Large Blend","Exchange Traded Fund","-5.11401%","13.450000000000001%","False","7.87713%","10.14%","False","9.79889%","15.76%","False","11.181678999999999%","7.33%","True","0.9981","0.0","$76.84","$65.35","$86.87","$76.2584","False","$74.401","False","0.0%","$76.86"
FEX,"First Trust Large Cap Core Alph","2007-05-07","First Trust","Large Blend","Exchange Traded Fund","-1.6679500999999999%","13.450000000000001%","False","9.54692%","10.14%","False","10.105879600000002%","15.76%","False","11.24434%","7.33%","True","0.9978","0.0","$82.68","$71.62","$90.18","$82.864","True","$80.53405","False","N/A","$82.69"
