Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
FPX,"First Trust US Equity Opportuni","2006-04-11","First Trust","Large Growth","Exchange Traded Fund","-20.20951%","12.42%","False","0.36924%","11.459999999999999%","False","7.90076%","17.05%","False","10.52443%","9.4799995%","True","0.9962","0.0","$83.46","$76.82","$112.01","$82.4254","False","$85.63545","True","0.0%","$83.5"
FTC,"First Trust Large Cap Growth Al","2007-05-07","First Trust","Large Growth","Exchange Traded Fund","-9.73537%","12.42%","False","7.0779499999999995%","11.459999999999999%","False","11.15816%","17.05%","False","11.97307%","9.4799995%","True","0.9991","0.0","$92.58","$84.56","$109.74","$93.877","True","$93.14895","True","0.0%","$92.77"
GURU,"Global X Guru Index ETF","2012-06-03","Global X Funds","Large Growth","Exchange Traded Fund","-13.888130000000002%","12.42%","False","1.06398%","11.459999999999999%","False","7.249369999999999%","17.05%","False","7.4803999999999995%","9.4799995%","False","0.9995","0.0","$35.92","$30.89","$43.08","$35.6726","False","$34.87105","False","N/A","$35.98"
ILCG,"iShares Morningstar Large-Cap G","2004-06-27","iShares","Large Growth","Exchange Traded Fund","-15.59232%","12.42%","False","5.57309%","11.459999999999999%","False","13.742679999999998%","17.05%","False","13.804209%","9.4799995%","True","0.9973","0.0","$52.41","$45.97","$66.96","$51.243","False","$52.08865","False","20.3%","$52.41"
IUSG,"iShares Core S&P U.S. Growth ET","2000-07-23","iShares","Large Growth","Exchange Traded Fund","-15.705269999999999%","12.42%","False","6.98297%","11.459999999999999%","False","12.66945%","17.05%","False","13.29951%","9.4799995%","True","0.9981","0.0","$84.95","$76.95","$108.72","$84.3756","False","$86.5918","True","72.8%","$84.92"
IVW,"iShares S&P 500 Growth ETF","2000-05-21","iShares","Large Growth","Exchange Traded Fund","-16.505979%","12.42%","False","6.7955896000000005%","11.459999999999999%","False","12.79951%","17.05%","False","13.48336%","9.4799995%","True","0.9981","0.0","$60.9","$55.3","$78.65","$60.5502","False","$62.335","True","43.7%","$60.91"
IWF,"iShares Russell 1000 Growth ETF","2000-05-21","iShares","Large Growth","Exchange Traded Fund","-13.15303%","12.42%","False","8.2096994%","11.459999999999999%","False","14.367719000000001%","17.05%","False","14.38221%","9.4799995%","True","0.9978","0.0","$229.92","$202.05","$285.76","$225.4228","False","$227.8231","False","152.1%","$229.97"
IWY,"iShares Russell Top 200 Growth ","2009-09-21","iShares","Large Growth","Exchange Traded Fund","-14.515560999999998%","12.42%","False","8.83492%","11.459999999999999%","False","15.221949000000002%","17.05%","False","15.241209999999999%","9.4799995%","True","0.9977","0.0","$129.09","$114.66","$163.3","$126.7386","False","$129.3273","True","N/A","$129.13"
LCLG,"Advisors Series Trust Logan Cap","2012-06-27","Logan Capital","Large Growth","Exchange Traded Fund","-8.249991%","12.42%","False","9.107509%","11.459999999999999%","False","14.35314%","17.05%","False","13.427439999999999%","9.4799995%","True","0.991","0.0","$32.1241","$27.29","$34.85","$31.9353","False","$31.258043","False","0.0%","$32.13"
MGK,"Vanguard Mega Cap Growth ETF","2007-12-16","Vanguard","Large Growth","Exchange Traded Fund","-15.981600000000002%","12.42%","False","7.209840000000001%","11.459999999999999%","False","13.92832%","17.05%","False","14.015761%","9.4799995%","True","0.9988","0.0","$188.33","$165.89","$242.1","$183.6382","False","$188.24965","False","0.0%","$188.27"
MMTM,"SPDR S&P 1500 Momentum Tilt ETF","2012-10-23","SPDR State Street Global Advisors","Large Growth","Exchange Traded Fund","-8.6950995%","12.42%","False","6.97737%","11.459999999999999%","False","11.28178%","17.05%","False","12.12226%","9.4799995%","True","0.9996","0.0","$171.498","$152.1","$197.72","$170.0116","False","$168.27835","False","N/A","$168.73"
ONEQ,"Fidelity Nasdaq Composite Index","2003-09-24","Fidelity Investments","Large Growth","Exchange Traded Fund","-14.84327%","12.42%","False","7.94768%","11.459999999999999%","False","13.74219%","17.05%","False","15.22421%","9.4799995%","True","0.9972","0.0","$45.1","$39.52","$57.16","$43.7782","False","$44.7408","False","33.4%","$45.09"
PDP,"Invesco DWA Momentum ETF","2007-02-28","Invesco","Large Growth","Exchange Traded Fund","-5.408580000000001%","12.42%","False","3.3354500000000002%","11.459999999999999%","False","9.62374%","17.05%","False","10.29007%","9.4799995%","True","0.9991","0.0","$74.75","$66.22","$83.83","$73.8496","False","$73.12605","False","N/A","$74.68"
PWB,"Invesco Dynamic Large Cap Growt","2005-03-02","Invesco","Large Growth","Exchange Traded Fund","-10.21309%","12.42%","False","5.53089%","11.459999999999999%","False","11.88212%","17.05%","False","12.915679999999998%","9.4799995%","True","1.0","0.0","$62.55","$54.9","$74.31","$62.0136","False","$61.83385","False","8.0%","$62.56"
