Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
AIVL,"WisdomTree U.S. AI Enhanced Val","2006-06-15","WisdomTree","Large Value","Exchange Traded Fund","-1.9656300000000002%","17.040001%","False","4.07092%","10.5299994%","False","5.7885800000000005%","15.359998999999998%","False","8.26246%","6.550000000000001%","True","1.0","0.0","$93.0","$81.57","$101.53","$94.3074","True","$91.8768","False","N/A","$93.06"
DFUV,"Dimensional ETF Trust Dimension","1998-12-15","Dimensional Fund Advisors","Large Value","Exchange Traded Fund","-1.7526700999999998%","17.040001%","False","7.61867%","10.5299994%","False","8.21663%","15.359998999999998%","False","10.4139%","6.550000000000001%","True","0.9999","0.0","$34.52","$29.41","$35.978","$34.5134","False","$33.307095","False","N/A","$34.5"
DHS,"WisdomTree U.S. High Dividend F","2006-06-15","WisdomTree","Large Value","Exchange Traded Fund","6.52139%","17.040001%","False","8.436580000000001%","10.5299994%","False","8.14073%","15.359998999999998%","False","9.822790000000001%","6.550000000000001%","True","1.0","0.0","$86.065","$75.76","$91.9","$87.3102","True","$84.9661","False","N/A","$86.22"
DIA,"SPDR Dow Jones Industrial Avera","1998-01-12","SPDR State Street Global Advisors","Large Value","Exchange Traded Fund","-1.58427%","17.040001%","False","6.6911499999999995%","10.5299994%","False","10.78636%","15.359998999999998%","False","11.58495%","6.550000000000001%","True","0.9994","0.0","$331.25","$286.62","$354.88","$336.248","True","$323.5543","False","562.0%","$331.26"
DLN,"WisdomTree U.S. LargeCap Divide","2006-06-15","WisdomTree","Large Value","Exchange Traded Fund","0.27782%","17.040001%","False","8.137129999999999%","10.5299994%","False","10.2164894%","15.359998999999998%","False","11.204600000000001%","6.550000000000001%","True","1.0","0.0","$62.1","$54.81","$67.44","$62.8562","True","$61.34145","False","0.0%","$62.21"
DTD,"WisdomTree U.S. Total Dividend ","2006-06-15","WisdomTree","Large Value","Exchange Traded Fund","0.70672%","17.040001%","False","7.9930200000000005%","10.5299994%","False","9.73903%","15.359998999999998%","False","11.0321596%","6.550000000000001%","True","1.0","0.0","$61.31","$54.04","$66.14","$61.818","True","$60.2914","False","N/A","$61.41"
DVY,"iShares Select Dividend ETF","2003-11-02","iShares","Large Value","Exchange Traded Fund","3.12155%","17.040001%","False","9.42307%","10.5299994%","False","9.10326%","15.359998999999998%","False","11.15104%","6.550000000000001%","True","0.9977","0.0","$122.45","$105.59","$133.33","$123.118","True","$120.8119","False","353.7%","$122.42"
EQWL,"Invesco S&P 100 Equal Weight ET","2006-11-30","Invesco","Large Value","Exchange Traded Fund","-3.03724%","17.040001%","False","10.02108%","10.5299994%","False","11.83732%","15.359998999999998%","False","12.78096%","6.550000000000001%","True","1.0","0.0","$77.6091","$65.91","$84.9","$77.5072","False","$74.91455","False","N/A","$77.67"
FDL,"First Trust Morningstar ETF","2006-03-08","First Trust","Large Value","Exchange Traded Fund","7.57505%","17.040001%","False","10.297730600000001%","10.5299994%","False","8.776580000000001%","15.359998999999998%","False","10.81367%","6.550000000000001%","True","0.9993","0.0","$36.82","$32.1","$39.24","$37.265","True","$36.41455","False","N/A","$36.82"
FTA,"First Trust Large Cap Value Alp","2007-05-07","First Trust","Large Value","Exchange Traded Fund","3.8937100000000004%","17.040001%","False","10.6594294%","10.5299994%","True","8.4887505%","15.359998999999998%","False","10.10471%","6.550000000000001%","True","0.9963","0.0","$69.6","$57.18","$73.62","$69.0256","False","$65.86415","False","N/A","$69.52"
