Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
CSD,"Invesco S&P Spin-Off ETF","2006-12-14","Invesco","Mid-Cap Blend","Exchange Traded Fund","-1.78298%","12.1800005%","False","6.623329999999999%","8.34%","False","5.2799499999999995%","15.920000000000002%","False","7.449509999999999%","7.88%","False","0.9984","0.0","$57.5762","$47.58","$61.86","$55.8728","False","$53.8908","False","N/A","$57.57"
CZA,"Invesco Zacks Mid-Cap ETF","2007-04-01","Invesco","Mid-Cap Blend","Exchange Traded Fund","4.19386%","12.1800005%","False","7.16639%","8.34%","False","9.85215%","15.920000000000002%","False","11.0955894%","7.88%","True","0.9987","0.0","$92.06","$78.15","$97.05","$91.6208","False","$88.34105","False","N/A","$92.19"
FNX,"First Trust Mid Cap Core AlphaD","2007-05-07","First Trust","Mid-Cap Blend","Exchange Traded Fund","-0.80505%","12.1800005%","False","10.88661%","8.34%","True","9.831660000000001%","15.920000000000002%","False","10.16952%","7.88%","True","0.999","0.0","$94.24","$79.36","$100.88","$92.5354","False","$89.7864","False","N/A","$94.01"
FTDS,"First Trust Dividend Strength E","2006-12-04","First Trust","Mid-Cap Blend","Exchange Traded Fund","-3.51647%","12.1800005%","False","8.86134%","8.34%","True","9.03957%","15.920000000000002%","False","9.30657%","7.88%","True","0.9986","0.0","$44.3932","$39.11","$49.17","$44.18684","False","$43.375015","False","36.1%","$44.24"
IJH,"iShares Core S&P Mid-Cap ETF","2000-05-21","iShares","Mid-Cap Blend","Exchange Traded Fund","0.47544%","12.1800005%","False","10.0016005%","8.34%","True","9.1240995%","15.920000000000002%","False","10.7672006%","7.88%","True","0.9969","0.0","$259.46","$217.39","$277.04","$253.9058","False","$244.0491","False","280.90000000000003%","$259.44"
IMCB,"iShares Morningstar Mid-Cap ETF","2004-06-27","iShares","Mid-Cap Blend","Exchange Traded Fund","-3.3811500000000003%","12.1800005%","False","7.126530000000001%","8.34%","False","9.003451%","15.920000000000002%","False","10.6023595%","7.88%","True","0.9984","0.0","$62.23","$52.68","$68.97","$61.4382","False","$59.763","False","70.8%","$62.22"
IVOO,"Vanguard S&P Mid-Cap 400 ETF","2010-09-06","Vanguard","Mid-Cap Blend","Exchange Traded Fund","0.3877%","12.1800005%","False","9.9330194%","8.34%","True","9.060959500000001%","15.920000000000002%","False","10.70666%","7.88%","True","0.989","0.0","$175.55","$147.86","$187.58","$171.8592","False","$165.24185","False","0.0%","$175.48"
IWR,"iShares Russell Mid-Cap ETF","2001-07-16","iShares","Mid-Cap Blend","Exchange Traded Fund","-3.8722600000000003%","12.1800005%","False","7.54113%","8.34%","False","9.455919999999999%","15.920000000000002%","False","10.7953%","7.88%","True","0.9985","0.0","$71.57","$60.73","$80.0","$70.5898","False","$68.80055","False","80.2%","$71.59"
MDY,"SPDR MidCap Trust Series I","1995-05-03","SPDR State Street Global Advisors","Mid-Cap Blend","Exchange Traded Fund","0.26329%","12.1800005%","False","9.842789999999999%","8.34%","True","8.9310706%","15.920000000000002%","False","10.55632%","7.88%","True","1.0","0.0","$474.65","$398.11","$506.7","$464.8086","False","$446.4345","False","471.0%","$474.69"
PWC,"Invesco Dynamic Market ETF","2003-04-30","Invesco","Mid-Cap Blend","Exchange Traded Fund","-1.79301%","12.1800005%","False","4.0749997%","8.34%","False","6.2319398%","15.920000000000002%","False","8.83791%","7.88%","True","0.999","0.0","$109.0427","$92.72","$118.55","$107.761","False","$103.8759","False","90.0%","$109.02"
RYJ,"Invesco Raymond James SB-1 Equi","2006-05-18","Invesco","Mid-Cap Blend","Exchange Traded Fund","0.2071%","12.1800005%","False","9.032020000000001%","8.34%","True","7.691050000000001%","15.920000000000002%","False","9.747630000000001%","7.88%","True","1.0","0.0","$58.5872","$49.47","$62.95","$57.209","False","$55.34445","False","N/A","$58.57"
SCHM,"Schwab U.S. Mid Cap ETF","2011-01-12","Schwab ETFs","Mid-Cap Blend","Exchange Traded Fund","-4.28219%","12.1800005%","False","6.72092%","8.34%","False","8.79251%","15.920000000000002%","False","10.55701%","7.88%","True","0.9993","0.0","$70.16","$59.74","$78.07","$69.0122","False","$67.0829","False","N/A","$70.17"
SPMD,"SPDR Portfolio S&P 400 Mid Cap ","2005-11-07","SPDR State Street Global Advisors","Mid-Cap Blend","Exchange Traded Fund","0.46650004%","12.1800005%","False","10.0123905%","8.34%","True","9.121299500000001%","15.920000000000002%","False","10.45214%","7.88%","True","0.9991","0.0","$45.57","$38.21","$48.67","$44.6372","False","$42.86565","False","0.0%","$45.59"
VO,"Vanguard Mid-Cap ETF","2004-01-25","Vanguard","Mid-Cap Blend","Exchange Traded Fund","-4.9933%","12.1800005%","False","7.68404%","8.34%","False","9.744029999999999%","15.920000000000002%","False","11.121379600000001%","7.88%","True","0.9895","0.0","$215.44","$182.88","$243.78","$213.1568","False","$208.3051","False","299.6%","$215.48"
VXF,"Vanguard Extended Market ETF","2001-12-26","Vanguard","Mid-Cap Blend","Exchange Traded Fund","-9.9648%","12.1800005%","False","5.5621%","8.34%","False","8.189910000000001%","15.920000000000002%","False","9.95342%","7.88%","True","0.9746","0.0","$144.67","$123.74","$171.45","$140.8934","False","$139.2471","False","176.7%","$144.63"
XMHQ,"Invesco S&P MidCap Quality ETF","2006-11-30","Invesco","Mid-Cap Blend","Exchange Traded Fund","-1.8425500000000001%","12.1800005%","False","12.55178%","8.34%","True","11.03155%","15.920000000000002%","False","11.4886396%","7.88%","True","0.9995","0.0","$73.3","$61.49","$79.06","$72.5078","False","$69.29555","False","N/A","$73.37"
