Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
DON,"WisdomTree U.S. MidCap Dividend","2006-06-15","WisdomTree","Mid-Cap Value","Exchange Traded Fund","3.4914599999999996%","15.529999%","False","7.923210399999999%","10.34%","False","7.9903699999999995%","17.24%","False","10.68042%","7.35%","True","1.0","0.0","$43.24","$37.47","$45.77","$42.889","False","$41.6485","False","N/A","$43.27"
EZM,"WisdomTree U.S. MidCap Fund","2007-02-22","WisdomTree","Mid-Cap Value","Exchange Traded Fund","0.40983%","15.529999%","False","10.683629999999999%","10.34%","True","9.0258904%","17.24%","False","10.60525%","7.35%","True","1.0","0.0","$52.69","$43.61","$56.41","$51.5566","False","$49.49115","False","N/A","$52.66"
FAB,"First Trust Multi Cap Value Alp","2007-05-07","First Trust","Mid-Cap Value","Exchange Traded Fund","3.1408300000000002%","15.529999%","False","12.148249999999999%","10.34%","True","8.27863%","17.24%","False","9.57843%","7.35%","True","0.9972","0.0","$73.81","$60.53","$79.55","$72.7932","False","$69.5684","False","N/A","$73.87"
FNK,"First Trust Mid Cap Value Alpha","2011-04-18","First Trust","Mid-Cap Value","Exchange Traded Fund","4.0632399999999995%","15.529999%","False","12.90702%","10.34%","True","7.7609204%","17.24%","False","8.84944%","7.35%","True","0.9985","0.0","$46.67","$38.05","$50.35","$45.884","False","$43.59715","False","0.0%","$46.68"
IJJ,"iShares S&P Mid-Cap 400 Value E","2000-07-23","iShares","Mid-Cap Value","Exchange Traded Fund","4.7586598%","15.529999%","False","11.91403%","10.34%","True","8.9393504%","17.24%","False","10.718910399999999%","7.35%","True","0.9984","0.0","$109.6","$89.62","$116.78","$106.7518","False","$101.30515","False","141.3%","$109.54"
IMCV,"iShares Morningstar Mid-Cap Val","2004-06-27","iShares","Mid-Cap Value","Exchange Traded Fund","-0.089589995%","15.529999%","False","8.44907%","10.34%","False","7.3960799999999995%","17.24%","False","10.7201%","7.35%","True","0.9972","0.0","$64.96","$55.69","$71.16","$64.6624","False","$62.7923","False","118.0%","$64.9"
IVOV,"Vanguard S&P Mid-Cap 400 Value ","2010-09-06","Vanguard","Mid-Cap Value","Exchange Traded Fund","4.7539299999999995%","15.529999%","False","11.96651%","10.34%","True","9.003210000000001%","17.24%","False","10.76918%","7.35%","True","0.9901","0.0","$166.9072","$138.76","$177.85","$163.0838","False","$155.49255","False","N/A","$166.87"
IWS,"iShares Russell Mid-cap Value E","2001-07-16","iShares","Mid-Cap Value","Exchange Traded Fund","-2.37853%","15.529999%","False","7.60023%","10.34%","False","7.3395%","17.24%","False","9.6490495%","7.35%","True","0.9979","0.0","$110.75","$94.32","$122.68","$109.89","False","$107.34945","False","162.7%","$110.77"
MDYV,"SPDR S&P 400 Mid Cap Value ETF ","2005-11-07","SPDR State Street Global Advisors","Mid-Cap Value","Exchange Traded Fund","4.76376%","15.529999%","False","12.0243795%","10.34%","True","9.04118%","17.24%","False","10.797068999999999%","7.35%","True","0.9992","0.0","$70.36","$57.63","$75.02","$68.613","False","$65.04865","False","N/A","$70.38"
PEY,"Invesco High Yield Equity Divid","2004-12-08","Invesco","Mid-Cap Value","Exchange Traded Fund","2.69445%","15.529999%","False","7.933809999999999%","10.34%","False","7.76332%","17.24%","False","11.81721%","7.35%","True","1.0","0.0","$20.87","$18.53","$22.68","$21.0296","True","$20.77675","False","79.0%","$20.87"
RWK,"Invesco Exchange-Traded Fund Tr","2008-02-19","Invesco","Mid-Cap Value","Exchange Traded Fund","5.40918%","15.529999%","False","16.054109999999998%","10.34%","True","10.72992%","17.24%","False","11.55663%","7.35%","True","0.9994","0.0","$93.9462","$74.22","$99.16","$91.2662","False","$85.66265","False","N/A","$93.86"
SDY,"SPDR S&P Dividend ETF","2005-11-07","SPDR State Street Global Advisors","Mid-Cap Value","Exchange Traded Fund","5.24497%","15.529999%","False","8.8819705%","10.34%","False","9.8981306%","17.24%","False","11.3943905%","7.35%","True","0.9972","0.0","$126.61","$110.55","$133.22","$127.6796","True","$124.01415","False","0.0%","$126.6"
VOE,"Vanguard Mid-Cap Value ETF","2006-08-16","Vanguard","Mid-Cap Value","Exchange Traded Fund","-0.46873000000000004%","15.529999%","False","8.32056%","10.34%","False","8.30855%","17.24%","False","10.65363%","7.35%","True","0.9968","0.0","$140.83","$119.81","$154.69","$140.5682","False","$136.6037","False","0.0%","$140.86"
XMVM,"Invesco S&P MidCap Value with M","2005-03-02","Invesco","Mid-Cap Value","Exchange Traded Fund","0.7422599999999999%","15.529999%","False","13.54653%","10.34%","True","9.29734%","17.24%","False","11.55768%","7.35%","True","0.9995","0.0","$47.2919","$38.09","$49.79","$46.148","False","$43.62135","False","45.0%","$47.24"
