Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
DFAS,"Dimensional U.S. Small Cap ETF","1998-12-14","Dimensional Fund Advisors","Small Blend","Exchange Traded Fund","0.5934400000000001%","3.7100002%","False","11.0451005%","4.58%","True","7.98249%","12.1400006%","False","10.235400499999999%","6.1%","True","0.9997","0.0","$55.23","$46.108","$58.047","$53.8875","False","$51.7492","False","0.0%","$55.19"
EWMC,"Invesco S&P MidCap 400 Equal We","2010-12-02","Invesco","Small Blend","Exchange Traded Fund","1.5976401%","3.7100002%","False","12.57489%","4.58%","True","9.08496%","12.1400006%","False","10.72661%","6.1%","True","0.9997","0.0","$90.4832","$74.63","$95.62","$88.394","False","$84.30615","False","N/A","$90.46"
EWSC,"Invesco S&P SmallCap 600 Equal ","2010-12-02","Invesco","Small Blend","Exchange Traded Fund","-3.0433000000000003%","3.7100002%","False","13.36598%","4.58%","True","8.80451%","12.1400006%","False","9.42185%","6.1%","True","0.9997","0.0","$75.3785","$62.66","$82.68","$73.5914","False","$71.60455","False","N/A","$75.41"
FYX,"First Trust Small Cap Core Alph","2007-05-07","First Trust","Small Blend","Exchange Traded Fund","-4.19879%","3.7100002%","False","12.131319999999999%","4.58%","True","9.02585%","12.1400006%","False","9.9234305%","6.1%","True","0.9992","0.0","$85.41","$72.24","$94.62","$83.146","False","$81.34685","False","N/A","$85.14"
IJR,"iShares Core S&P Small-Cap ETF","2000-05-21","iShares","Small Blend","Exchange Traded Fund","-2.17841%","3.7100002%","False","9.45637%","4.58%","True","8.4697306%","12.1400006%","False","11.017589%","6.1%","True","0.9991","0.0","$101.96","$86.4","$111.39","$99.8084","False","$97.45315","False","126.69999999999999%","$101.94"
ISCB,"iShares Morningstar Small-Cap E","2004-06-27","iShares","Small Blend","Exchange Traded Fund","-3.9208399999999997%","3.7100002%","False","3.90777%","4.58%","False","5.4580104%","12.1400006%","False","8.3842896%","6.1%","True","0.999","0.0","$49.5391","$42.33","$55.14","$48.3212","False","$47.2333","False","60.199999999999996%","$49.46"
IWC,"iShares Microcap ETF","2005-08-11","iShares","Small Blend","Exchange Traded Fund","-8.11101%","3.7100002%","False","7.284509999999999%","4.58%","True","6.4910896%","12.1400006%","False","8.862001%","6.1%","True","1.0019001","0.0","$114.61","$100.75","$132.91","$113.0586","False","$111.8591","False","N/A","$114.66"
IWM,"iShares Russell 2000 ETF","2000-05-21","iShares","Small Blend","Exchange Traded Fund","-5.2577300000000005%","3.7100002%","False","6.01969%","4.58%","True","6.94357%","12.1400006%","False","9.15478%","6.1%","True","1.0007","0.0","$187.43","$162.5","$212.25","$183.7802","False","$180.8394","False","201.7%","$187.32"
JMEE,"J.P. Morgan Exchange-Traded Fun","1998-07-30","JPMorgan","Small Blend","Exchange Traded Fund","0.20013999999999998%","3.7100002%","False","10.42753%","4.58%","True","8.27412%","12.1400006%","False","10.71731%","6.1%","True","0.9774","0.0","$49.6423","$44.03","$53.33","$48.76106","False","$48.68958","False","N/A","$49.6"
PRFZ,"Invesco FTSE RAFI US 1500 Small","2006-09-19","Invesco","Small Blend","Exchange Traded Fund","-2.61038%","3.7100002%","False","10.2791004%","4.58%","True","8.1273496%","12.1400006%","False","10.13521%","6.1%","True","0.9993","0.0","$171.94","$144.81","$188.13","$167.0808","False","$162.84465","False","N/A","$171.73"
SCHA,"Schwab U.S. Small-Cap ETF","2009-11-02","Schwab ETFs","Small Blend","Exchange Traded Fund","-4.73836%","3.7100002%","False","6.885719999999999%","4.58%","True","7.381%","12.1400006%","False","9.54594%","6.1%","True","0.9993","0.0","$43.81","$37.25","$48.99","$42.8026","False","$41.74805","False","N/A","$43.76"
SLY,"SPDR S&P 600 Small Cap ETF (bas","2005-11-07","SPDR State Street Global Advisors","Small Blend","Exchange Traded Fund","-2.07267%","3.7100002%","False","9.58034%","4.58%","True","8.4939%","12.1400006%","False","11.000650400000001%","6.1%","True","0.9992","0.0","$88.46","$75.12","$96.8","$86.6636","False","$84.5774","False","N/A","$88.47"
VB,"Vanguard Small-Cap ETF","2004-01-25","Vanguard","Small Blend","Exchange Traded Fund","-3.3066699999999996%","3.7100002%","False","7.65596%","4.58%","True","8.641031%","12.1400006%","False","10.27069%","6.1%","True","0.98260003","0.0","$197.3","$168.65","$219.35","$193.6554","False","$188.63065","False","255.7%","$197.34"
VIOO,"Vanguard S&P Small-Cap 600 ETF","2010-09-06","Vanguard","Small Blend","Exchange Traded Fund","-2.1824501%","3.7100002%","False","9.49481%","4.58%","True","8.470529%","12.1400006%","False","10.981670000000001%","6.1%","True","0.9998","0.0","$186.81","$160.01","$204.29","$183.1974","False","$179.5215","False","N/A","$186.7"
VTWO,"Vanguard Russell 2000 ETF","2010-09-19","Vanguard","Small Blend","Exchange Traded Fund","-5.161099999999999%","3.7100002%","False","6.1683897000000005%","4.58%","True","7.06374%","12.1400006%","False","9.212489999999999%","6.1%","True","0.9583","0.0","$75.66","$65.63","$85.63","$74.1912","False","$73.02015","False","0.0%","$75.61"
