Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
DWAS,"Invesco DWA SmallCap Momentum E","2012-07-18","Invesco","Small Growth","Exchange Traded Fund","-4.71005%","0.33999999999999997%","False","10.70745%","3.74%","True","11.44102%","11.5200005%","False","10.54276%","7.28%","True","0.9995","0.0","$76.03","$64.87","$88.12","$75.292","False","$74.62315","False","N/A","$75.94"
FYC,"First Trust Small Cap Growth Al","2011-04-18","First Trust","Small Growth","Exchange Traded Fund","-10.62885%","0.33999999999999997%","False","8.214599999999999%","3.74%","True","9.21275%","11.5200005%","False","10.375789600000001%","7.28%","True","0.9984","0.0","$59.1","$51.97","$70.57","$58.1818","False","$57.9323","False","N/A","$59.12"
IJT,"iShares S&P Small-Cap 600 Growt","2000-07-23","iShares","Small Growth","Exchange Traded Fund","-6.3137799999999995%","0.33999999999999997%","False","6.7047%","3.74%","True","8.177719999999999%","11.5200005%","False","10.92307%","7.28%","True","1.0014","0.0","$114.47","$100.13","$129.76","$112.9188","False","$111.42","False","56.10000000000001%","$114.43"
ISCG,"iShares Morningstar Small-Cap G","2004-06-27","iShares","Small Growth","Exchange Traded Fund","-8.07503%","0.33999999999999997%","False","3.3407%","3.74%","False","8.49901%","11.5200005%","False","9.7160704%","7.28%","True","0.9996","0.0","$39.3845","$33.55","$45.48","$38.3272","False","$37.6209","False","4.9%","$39.38"
IWO,"iShares Russell 2000 Growth ETF","2000-07-23","iShares","Small Growth","Exchange Traded Fund","-7.894629999999999%","0.33999999999999997%","False","2.66276%","3.74%","False","7.4258500000000005%","11.5200005%","False","9.44584%","7.28%","True","1.0007","0.0","$231.24","$192.88","$265.24","$226.4336","False","$221.6757","False","117.6%","$231.14"
RZG,"Invesco S&P Smallcap 600 Pure G","2006-02-28","Invesco","Small Growth","Exchange Traded Fund","-14.106889%","0.33999999999999997%","False","2.48963%","3.74%","False","4.51479%","11.5200005%","False","8.27327%","7.28%","True","0.9994","0.0","$122.3643","$107.87","$147.74","$121.5368","False","$121.5409","False","N/A","$122.31"
SLYG,"SPDR S&P 600 Small Cap Growth E","2000-09-24","SPDR State Street Global Advisors","Small Growth","Exchange Traded Fund","-6.2599905%","0.33999999999999997%","False","6.8013699999999995%","3.74%","True","8.290709999999999%","11.5200005%","False","11.00863%","7.28%","True","0.9989","0.0","$76.57","$67.07","$86.89","$75.5756","False","$74.56115","False","54.0%","$76.54"
VBK,"Vanguard Small-Cap Growth ETF","2004-01-25","Vanguard","Small Growth","Exchange Traded Fund","-8.943819999999999%","0.33999999999999997%","False","3.1650400000000003%","3.74%","False","8.8633%","11.5200005%","False","9.66975%","7.28%","True","0.97449994","0.0","$218.71","$186.95","$256.5","$213.6032","False","$210.3612","False","117.8%","$218.65"
VIOG,"Vanguard S&P Small-Cap 600 Grow","2010-09-06","Vanguard","Small Growth","Exchange Traded Fund","-6.3007005000000005%","0.33999999999999997%","False","6.792339999999999%","3.74%","True","8.277379999999999%","11.5200005%","False","10.95549%","7.28%","True","0.9925","0.0","$197.1019","$173.28","$223.34","$194.5206","False","$191.95845","False","0.0%","$196.95"
VTWG,"Vanguard Russell 2000 Growth ET","2010-09-19","Vanguard","Small Growth","Exchange Traded Fund","-7.91936%","0.33999999999999997%","False","2.7328702%","3.74%","False","7.473789999999999%","11.5200005%","False","9.4344504%","7.28%","True","0.9471","0.0","$168.17","$140.37","$192.63","$164.6342","False","$161.2161","False","N/A","$168.02"
XSMO,"Invesco S&P SmallCap Momentum E","2005-03-02","Invesco","Small Growth","Exchange Traded Fund","-2.9277502%","0.33999999999999997%","False","7.53993%","3.74%","True","11.661249999999999%","11.5200005%","True","10.732069599999999%","7.28%","True","0.9998","0.0","$48.62","$42.42","$53.87","$48.4158","False","$47.78545","False","28.000000000000004%","$48.65"
