Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
DES,"WisdomTree U.S. SmallCap Divide","2006-06-15","WisdomTree","Small Value","Exchange Traded Fund","0.7382299800000001%","8.5%","False","7.223160000000001%","4.96%","True","5.26551%","12.520000000000001%","False","8.6213596%","5.74%","True","1.0","0.0","$30.695","$25.74","$32.69","$30.029","False","$29.25315","False","N/A","$30.71"
DFAT,"Dimensional U.S. Targeted Value","1998-12-10","Dimensional Fund Advisors","Small Value","Exchange Traded Fund","4.832050000000001%","8.5%","False","13.9962%","4.96%","True","8.2002%","12.520000000000001%","False","10.306410000000001%","5.74%","True","0.9998","0.0","$47.45","$38.59","$50.0","$46.287","False","$43.9128","False","0.0%","$47.47"
EES,"WisdomTree U.S. SmallCap Fund","2007-02-22","WisdomTree","Small Value","Exchange Traded Fund","-2.1266999%","8.5%","False","11.03026%","4.96%","True","8.08334%","12.520000000000001%","False","10.17074%","5.74%","True","1.0","0.0","$46.41","$39.01","$49.52","$45.2684","False","$43.88225","False","N/A","$46.3"
FDM,"First Trust DJ Select MicroCap ","2005-09-26","First Trust","Small Value","Exchange Traded Fund","-0.41292999999999996%","8.5%","False","9.02092%","4.96%","True","7.0478804%","12.520000000000001%","False","10.873249999999999%","5.74%","True","0.998","0.0","$58.96","$49.89","$62.55","$57.8688","False","$56.0593","False","N/A","$59.04"
FYT,"First Trust Small Cap Value Alp","2011-04-18","First Trust","Small Value","Exchange Traded Fund","-0.5372100000000001%","8.5%","False","13.84083%","4.96%","True","8.008980000000001%","12.520000000000001%","False","9.01621%","5.74%","True","0.9984","0.0","$49.67","$40.43","$53.23","$48.1614","False","$46.60035","False","N/A","$49.6"
IJS,"iShares S&P SmallCap 600 Value ","2000-07-23","iShares","Small Value","Exchange Traded Fund","1.7615201%","8.5%","False","11.55354%","4.96%","True","8.14428%","12.520000000000001%","False","10.60721%","5.74%","True","0.9987","0.0","$100.14","$82.09","$106.94","$97.2542","False","$93.82915","False","109.60000000000001%","$100.13"
ISCV,"iShares Morningstar Small-Cap V","2004-06-27","iShares","Small Value","Exchange Traded Fund","0.39316999999999996%","8.5%","False","9.27137%","4.96%","True","5.03359%","12.520000000000001%","False","8.10124%","5.74%","True","0.9969","0.0","$56.3311","$47.24","$60.3","$55.0874","False","$53.6207","False","92.0%","$56.32"
IWN,"iShares Russell 2000 Value ETF","2000-07-23","iShares","Small Value","Exchange Traded Fund","-2.94415%","8.5%","False","8.5593395%","4.96%","True","5.89013%","12.520000000000001%","False","8.451889999999999%","5.74%","True","1.0019001","0.0","$148.61","$128.24","$166.38","$145.894","False","$144.20274","False","205.39999999999998%","$148.5"
RFV,"Invesco S&P Midcap 400 Pure Val","2006-02-28","Invesco","Small Value","Exchange Traded Fund","9.85606%","8.5%","True","19.466859%","4.96%","True","10.676911%","12.520000000000001%","False","11.5408696%","5.74%","True","0.9997","0.0","$101.02","$79.65","$110.46","$98.7124","False","$91.3169","False","N/A","$101.03"
RWJ,"Invesco Exchange-Traded Fund Tr","2008-02-18","Invesco","Small Value","Exchange Traded Fund","3.8905397%","8.5%","False","26.010638000000004%","4.96%","True","11.877939999999999%","12.520000000000001%","False","12.931149999999999%","5.74%","True","0.9999","0.0","$120.65","$95.76","$127.63","$115.8206","False","$110.7757","False","N/A","$120.32"
RZV,"Invesco S&P Smallcap 600 Pure V","2006-02-28","Invesco","Small Value","Exchange Traded Fund","9.00682%","8.5%","True","20.871781%","4.96%","True","7.45106%","12.520000000000001%","False","9.20762%","5.74%","True","0.9997","0.0","$99.4327","$75.99","$108.19","$95.4326","False","$89.50885","False","N/A","$99.37"
SLYV,"SPDR S&P 600 Small Cap Value ET","2000-09-24","SPDR State Street Global Advisors","Small Value","Exchange Traded Fund","1.9152699%","8.5%","False","11.74541%","4.96%","True","8.29195%","12.520000000000001%","False","10.7219495%","5.74%","True","0.9984","0.0","$81.5","$66.84","$86.96","$79.1318","False","$76.35275","False","93.0%","$81.44"
VBR,"Vanguard Small-Cap Value ETF","2004-01-25","Vanguard","Small Value","Exchange Traded Fund","0.54769%","8.5%","False","10.19263%","4.96%","True","7.7538%","12.520000000000001%","False","10.232330000000001%","5.74%","True","0.99300003","0.0","$169.19","$142.48","$181.16","$166.5058","False","$160.87766","False","313.09999999999997%","$169.14"
VIOV,"Vanguard S&P Small-Cap 600 Valu","2010-09-06","Vanguard","Small Value","Exchange Traded Fund","1.8978799000000002%","8.5%","False","11.73108%","4.96%","True","8.279081000000001%","12.520000000000001%","False","10.68544%","5.74%","True","1.0007","0.0","$172.6813","$142.14","$184.4","$167.885","False","$162.31905","False","N/A","$172.67"
VTWV,"Vanguard Russell 2000 Value ETF","2010-09-19","Vanguard","Small Value","Exchange Traded Fund","-2.81482%","8.5%","False","8.7286904%","4.96%","True","6.0098899999999995%","12.520000000000001%","False","8.50558%","5.74%","True","0.96129996","0.0","$130.14","$112.44","$145.7","$127.9982","False","$126.51805","False","N/A","$130.18"
XSVM,"Invesco S&P SmallCap Value with","2005-03-02","Invesco","Small Value","Exchange Traded Fund","-4.134510000000001%","8.5%","False","17.78012%","4.96%","True","10.9604195%","12.520000000000001%","False","12.36032%","5.74%","True","0.9998","0.0","$49.46","$41.01","$56.0","$48.2014","False","$47.38755","False","35.0%","$49.39"
