Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
AAXJ,"iShares MSCI All Country Asia e","2008-08-12","iShares","Pacific/Asia ex-Japan Stk","Exchange Traded Fund","-15.45293%","7.08%","False","-0.56759%","0.23999999000000002%","False","3.98018%","3.52%","True","3.1937398%","4.67%","False","0.9973","0.0","$67.18","$54.39","$79.39","$68.555","True","$66.1074","False","0.0%","$67.33"
ACWI,"iShares MSCI ACWI ETF","2008-03-25","iShares","None","Exchange Traded Fund","-8.457851%","0.0%","False","5.50204%","0.0%","True","8.56375%","0.0%","True","8.39482%","0.0%","True","0.9962","0.0","$89.16","$75.71","$102.03","$88.6114","False","$86.57345","False","0.0%","$89.23"
ACWV,"iShares MSCI Global Min Vol Fac","2011-10-17","iShares","None","Exchange Traded Fund","-5.08252%","0.0%","False","0.62889997%","0.0%","True","6.2179998%","0.0%","True","7.456849999999999%","0.0%","True","0.9981","0.0","$95.07","$86.42","$107.32","$96.1386","True","$95.26245","True","N/A","$95.18"
ADIV,"SmartETFs Asia Pacific Dividend","2006-03-30","SmartETFs","Pacific/Asia ex-Japan Stk","Exchange Traded Fund","-12.094149999999999%","7.08%","False","5.2235797%","0.23999999000000002%","True","6.02814%","3.52%","True","5.1178%","4.67%","True","0.98870003","0.0","$14.0236","$11.22","$16.116","$13.87102","False","$13.417655","False","N/A","$14.15"
AFK,"VanEck Africa Index ETF","2008-07-09","VanEck","Miscellaneous Region","Exchange Traded Fund","-20.97403%","0.0%","False","-2.6352702%","0.0%","False","-1.4570001000000001%","0.0%","False","-3.18566%","0.0%","False","0.9591","0.0","$16.34","$14.76","$21.89","$16.8316","True","$16.943","True","0.0%","$15.96"
AGG,"iShares Core U.S. Aggregate Bon","2003-09-21","iShares","Intermediate-Term Bond","Exchange Traded Fund","-8.5184805%","5.1799998%","False","-3.0715%","3.7800000000000002%","False","0.65857%","2.86%","False","1.1643999999999999%","4.65%","False","0.0","0.064899996","$97.08","$93.2","$111.17","$99.0476","True","$99.59615","True","248.0%","$97.1"
AGOX,"Adaptive Alpha Opportunities ET","2012-09-19","Adaptive ETF","Tactical Allocation","Exchange Traded Fund","-8.2017094%","3.5999999999999996%","False","8.94524%","0.58%","True","11.26439%","1.7500000000000002%","True","10.19613%","0.0%","True","0.8042","0.0001","$21.7161","$18.68","$24.558","$21.39194","False","$21.06923","False","N/A","$21.71"
AGQ,"ProShares Ultra Silver","2008-11-30","ProShares","Trading--Leveraged Commodities","Exchange Traded Fund","-26.807409999999997%","0.0%","False","-5.9370097%","0.0%","False","-7.52184%","0.0%","False","-17.32256%","0.0%","False","1.3689","0.0","$26.04","$17.56","$47.05","$30.0594","True","$25.56465","False","N/A","$26.09"
AGZ,"iShares  Agency Bond ETF","2008-11-04","iShares","Short Government","Exchange Traded Fund","-5.2133199999999995%","0.72000003%","False","-1.42669%","0.73%","False","0.8902800000000001%","0.49%","True","1.05002%","2.1399999999999997%","False","0.0","0.0","$106.63","$105.0","$115.74","$107.5094","True","$108.25005","True","N/A","$106.4"
AHHX,"Adaptive High Income ETF","2012-09-19","Adaptive ETF","High Yield Bond","Exchange Traded Fund","-8.1238806%","9.0500005%","False","-2.6473701%","3.39%","False","0.79696%","5.84%","False","2.5541201%","0.0%","True","0.1588","0.1149","$8.47","$7.8","$9.78","$8.58882","True","$8.61041","True","N/A","$8.48"
AIA,"iShares Asia 50 ETF","2007-11-12","iShares","Pacific/Asia ex-Japan Stk","Exchange Traded Fund","-18.097071%","7.08%","False","-0.50471%","0.23999999000000002%","False","5.43614%","3.52%","True","4.96097%","4.67%","True","0.99660003","0.0","$60.31","$44.42","$73.16","$61.7444","True","$58.609","False","N/A","$60.31"
AMAX,"RH Hedged Multi-Asset Income ET","2009-10-01","Adaptive ETF","Nontraditional Bond","Exchange Traded Fund","-6.604069999999999%","4.01%","False","-3.07396%","1.2999999%","False","0.38003998%","0.0%","True","1.1304899%","0.0%","True","0.5574","0.0","$7.745","$7.2","$9.42","$7.85094","True","$8.03504","True","N/A","$7.78"
AMLP,"Alerian MLP ETF","2010-08-24","ALPS","Energy Limited Partnership","Exchange Traded Fund","17.70563%","-1.79%","True","10.56106%","-7.539999999999999%","True","0.55238004%","1.96%","False","0.56638997%","0.0%","True","1.0305","0.0","$39.05","$32.25","$42.47","$39.1426","True","$38.7496","False","0.0%","$39.13"
ANGL,"VanEck Fallen Angel High Yield ","2012-04-09","VanEck","High Yield Bond","Exchange Traded Fund","-6.06947%","9.0500005%","False","1.3167200000000001%","3.39%","False","3.96541%","5.84%","False","5.7972103%","0.0%","True","0.0","0.13270001","$27.13","$25.75","$30.93","$27.643","True","$27.48005","True","0.0%","$27.28"
AOA,"iShares Core Aggressive Allocat","2008-11-03","iShares","World Allocation","Exchange Traded Fund","-7.52567%","9.7200006%","False","4.23947%","0.2%","True","7.01798%","0.6%","True","7.544829999999999%","0.0%","True","0.8065","0.0513","$62.32","$54.0","$70.09","$62.181","False","$60.86225","False","0.0%","$62.28"
AOK,"iShares Core Conservative Alloc","2008-11-03","iShares","Allocation--30% to 50% Equity","Exchange Traded Fund","-7.92109%","12.42%","False","-0.16339%","5.43%","False","3.17779%","6.800000000000001%","False","3.41377%","0.0%","True","0.3127","0.1855","$34.22","$31.85","$38.24","$34.5782","True","$34.41055","True","N/A","$34.2"
AOM,"iShares Core Moderate Allocatio","2008-11-03","iShares","Allocation--30% to 50% Equity","Exchange Traded Fund","-7.81727%","12.42%","False","0.75274003%","5.43%","False","3.97759%","6.800000000000001%","False","4.31096%","0.0%","True","0.4141","0.1579","$38.95","$35.71","$43.33","$39.2474","True","$38.9341","False","N/A","$38.93"
AOR,"iShares Core Growth Allocation ","2008-11-03","iShares","Allocation--50% to 70% Equity","Exchange Traded Fund","-7.62712%","10.01%","False","2.55529%","4.63%","False","5.53335%","9.26%","False","6.0193200000000004%","0.0%","True","0.613","0.1039","$48.95","$43.57","$54.62","$49.064","True","$48.33565","False","N/A","$48.92"
ARGT,"Global X MSCI Argentina ETF","2011-03-01","Global X Funds","Miscellaneous Region","Exchange Traded Fund","28.462312%","0.0%","True","16.850439%","0.0%","True","8.188599%","0.0%","True","9.64363%","0.0%","True","0.9984","0.0","$38.6","$23.29","$41.59","$36.7792","False","$31.21845","False","0.0%","$38.58"
ASEA,"Global X FTSE Southeast Asia ET","2011-02-15","Global X Funds","Pacific/Asia ex-Japan Stk","Exchange Traded Fund","-2.34723%","7.08%","False","2.92883%","0.23999999000000002%","True","4.551970000000001%","3.52%","True","1.7410599999999998%","4.67%","False","0.999","0.0","$15.0749","$13.05","$16.11","$15.2298","True","$14.51775","False","N/A","$15.12"
BAB,"Invesco Taxable Municipal Bond ","2009-11-16","Invesco","Long-Term Bond","Exchange Traded Fund","-12.852918999999998%","14.000000000000002%","False","-4.05227%","9.7600006%","False","1.6659599%","6.36%","False","2.6277600000000003%","0.0%","True","0.0","0.0","$26.16","$24.39","$31.8","$26.566","True","$26.7363","True","95.0%","$26.22"
BIB,"ProShares Ultra Nasdaq Biotechn","2010-04-05","ProShares","Trading--Leveraged Equity","Exchange Traded Fund","-7.139810000000001%","0.0%","False","-3.4394800000000005%","0.0%","False","2.74501%","0.0%","True","13.3222%","0.0%","True","2.0003","0.0","$55.6","$38.42","$67.31","$59.5242","True","$53.92","False","N/A","$55.41"
BIL,"SPDR Bloomberg 1-3 Month T-Bill","2007-05-24","SPDR State Street Global Advisors","Ultrashort Bond","Exchange Traded Fund","1.89135%","1.13%","True","0.66167004%","0.76%","False","1.09089995%","1.09%","True","0.6435%","0.0%","True","0.0","0.0","$91.62","$91.33","$91.74","$91.5332","False","$91.49275","False","N/A","$91.61"
BIS,"ProShares UltraShort Nasdaq Bio","2010-04-05","ProShares","Trading--Inverse Equity","Exchange Traded Fund","-22.25684%","0.0%","False","-27.409489999999998%","0.0%","False","-24.981609%","0.0%","False","-33.33661%","0.0%","False","-1.9994","0.0","$20.16","$17.88","$35.64","$19.025","False","$23.14885","True","N/A","$20.14"
BIV,"Vanguard Intermediate-Term Bond","2007-04-02","Vanguard","Intermediate-Term Bond","Exchange Traded Fund","-8.9093305%","5.1799998%","False","-2.84589%","3.7800000000000002%","False","1.07158%","2.86%","False","1.51275005%","4.65%","False","0.0","0.1016","$74.22","$71.4","$85.65","$75.8614","True","$76.21045","True","0.0%","$74.21"
BKLN,"Invesco Senior Loan ETF","2011-03-02","Invesco","Bank Loan","Exchange Traded Fund","1.57007%","4.6899999999999995%","False","1.6123599999999998%","2.4500001%","False","2.51837%","4.5900002%","False","2.50074%","0.0%","True","0.0","0.156","$20.87","$20.06","$21.97","$20.9614","True","$20.85645","False","N/A","$20.96"
