Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
BBH,"VanEck Biotech ETF","2011-12-19","VanEck","Health","Exchange Traded Fund","2.3949102%","4.93%","False","4.7326297%","12.67%","False","5.79397%","20.22%","False","11.2039804%","12.2600004%","False","1.0001999","0.0","$159.32","$131.12","$170.25","$164.7638","True","$154.32755","False","N/A","$159.49"
BJK,"VanEck Gaming ETF","2008-01-21","VanEck","Consumer Cyclical","Exchange Traded Fund","0.1646%","-3.6700000000000004%","True","2.2806799%","3.3099998%","False","5.61088%","12.709999999999999%","False","3.5395000000000003%","6.08%","False","0.9897","0.0","$43.63","$31.47","$45.0","$41.7986","False","$37.02375","False","0.0%","$43.81"
CARZ,"First Trust S-Network Future Ve","2011-05-08","First Trust","Consumer Cyclical","Exchange Traded Fund","-16.506469%","-3.6700000000000004%","False","14.234390999999999%","3.3099998%","True","7.55169%","12.709999999999999%","False","6.98359%","6.08%","True","1.0001","0.0","$47.51","$38.8","$59.8","$45.456","False","$45.9677","False","N/A","$47.87"
CGW,"Invesco S&P Global Water Index ","2007-05-13","Invesco","Natural Resources","Exchange Traded Fund","-3.6520499999999996%","22.790001%","False","6.34932%","-1.54%","True","10.7005194%","3.2%","True","9.620339999999999%","3.6900000000000004%","True","1.0001","0.0","$49.59","$39.85","$53.25","$49.015","False","$46.7326","False","0.0%","$49.73"
COPX,"Global X Copper Miners ETF","2010-04-18","Global X Funds","Natural Resources","Exchange Traded Fund","-2.29019%","22.790001%","False","31.070998%","-1.54%","True","9.6617006%","3.2%","True","1.75355%","3.6900000000000004%","False","0.9999","0.0","$39.34","$26.01","$47.23","$38.645","False","$33.73795","False","N/A","$39.44"
CUT,"Invesco MSCI Global Timber ETF","2007-11-08","Invesco","Natural Resources","Exchange Traded Fund","-13.085419000000002%","22.790001%","False","5.9823398%","-1.54%","True","5.01608%","3.2%","True","5.91221%","3.6900000000000004%","True","0.9991","0.0","$30.2681","$26.89","$36.94","$31.4742","True","$31.56915","True","N/A","$30.41"
ERTH,"Invesco MSCI Sustainable Future","2006-10-23","Invesco","Miscellaneous Sector","Exchange Traded Fund","-14.31348%","0.0%","False","5.00908%","0.0%","True","10.012039999999999%","0.0%","True","9.61819%","0.0%","True","1.0007","0.0","$49.671","$44.76","$63.91","$50.522","True","$52.4746","True","N/A","$49.94"
EUFN,"iShares MSCI Europe Financials ","2010-01-19","iShares","Financial","Exchange Traded Fund","-1.99245%","7.7199996%","False","3.98086%","6.5%","False","4.139749999999999%","15.7%","False","3.2551702000000002%","-0.4%","True","0.9835","0.0","$19.82","$13.54","$20.27","$18.8124","False","$16.65105","False","N/A","$19.77"
EVX,"VanEck Environmental Services E","2006-10-09","VanEck","Industrials","Exchange Traded Fund","8.45104%","5.7800002%","True","10.02635%","5.21%","True","12.037010500000001%","12.3%","False","11.284410000000001%","7.39%","True","0.9993","0.0","$144.0863","$125.0","$154.59","$141.8716","False","$139.57835","False","0.0%","$144.15"
EXI,"iShares Global Industrials ETF","2006-09-11","iShares","Industrials","Exchange Traded Fund","-1.4471%","5.7800002%","False","6.088439999999999%","5.21%","True","7.8205800000000005%","12.3%","False","8.78632%","7.39%","True","0.99660003","0.0","$111.63","$89.52","$118.39","$110.55","False","$103.392","False","N/A","$111.65"
