Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
AADR,"AdvisorShares Dorsey Wright","2010-07-19","AdvisorShares","Foreign Large Growth","Exchange Traded Fund","-17.975071%","10.47%","False","-2.7158%","2.33%","False","2.6247699%","8.2399994%","False","5.09656%","2.4300002000000003%","True","0.996","0.0","$48.56","$43.35","$61.15","$48.9072","True","$49.3633","True","N/A","$48.64"
ACWX,"iShares MSCI ACWI ex US Index F","2008-03-25","iShares","Foreign Large Blend","Exchange Traded Fund","-9.020010000000001%","8.189999%","False","2.34043%","0.7799999999999999%","True","4.9230598%","7.1499999999999995%","False","4.09293%","1.76%","True","0.9953","0.0","$48.12","$38.81","$53.39","$47.86","False","$45.53355","False","N/A","$48.18"
ADRE,"Invesco BLDRS Emerging Markets ","2002-11-12","Invesco","Diversified Emerging Mkts","Exchange Traded Fund","-9.5387295%","15.540000000000001%","False","0.77007003%","-2.18%","True","4.47793%","1.6500000000000001%","True","2.60395%","3.5900000000000003%","False","1.0","0.0","$39.77","$31.47","$46.05","$40.5986","True","$38.59105","False","70.0%","$39.79"
AIVI,"WisdomTree International AI Enh","2006-06-15","WisdomTree","Foreign Large Value","Exchange Traded Fund","-5.73667%","8.1999995%","False","2.33024%","-0.98%","True","4.38715%","5.3000003%","False","3.53534%","1.17%","True","0.9999","0.0","$38.8963","$30.05","$41.38","$37.8478","False","$35.83245","False","N/A","$39.22"
BICK,"First Trust BICK Index Fund","2010-04-11","First Trust","Diversified Emerging Mkts","Exchange Traded Fund","-15.008640000000002%","15.540000000000001%","False","-1.98531%","-2.18%","True","2.61586%","1.6500000000000001%","True","1.8902801%","3.5900000000000003%","False","0.9963","0.0","$25.47","$22.58","$31.89","$25.908","True","$25.8975","True","N/A","$25.57"
BKF,"iShares MSCI BIC ETF","2007-11-11","iShares","Diversified Emerging Mkts","Exchange Traded Fund","-19.484840000000002%","15.540000000000001%","False","-5.68811%","-2.18%","False","1.8957501%","1.6500000000000001%","True","0.79845%","3.5900000000000003%","False","0.9955","0.0","$34.8491","$29.08","$42.03","$35.9868","True","$34.8274","False","N/A","$35.06"
CWI,"SPDR MSCI ACWI ex-US ETF","2007-01-09","SPDR State Street Global Advisors","Foreign Large Blend","Exchange Traded Fund","-8.255979400000001%","8.189999%","False","2.7757199999999997%","0.7799999999999999%","True","5.29994%","7.1499999999999995%","False","4.5025803%","1.76%","True","0.9952","0.0","$25.37","$20.63","$28.12","$25.2678","False","$24.07685","False","N/A","$25.57"
DBEF,"Xtrackers MSCI EAFE Hedged Equi","2011-06-08","Xtrackers","Foreign Large Blend","Exchange Traded Fund","6.1364103000000005%","8.189999%","False","7.3398%","0.7799999999999999%","True","8.377569999999999%","7.1499999999999995%","True","8.66199%","1.76%","True","0.98410004","0.0011","$34.85","$32.16","$38.58","$33.9102","False","$35.42155","True","N/A","$34.99"
DBEM,"Xtrackers MSCI Emerging Markets","2011-06-08","Xtrackers","Diversified Emerging Mkts","Exchange Traded Fund","-12.682849%","15.540000000000001%","False","0.70497002%","-2.18%","True","4.0489299999999995%","1.6500000000000001%","True","2.27265%","3.5900000000000003%","False","0.9921","0.0","$22.2196","$19.82","$25.84","$22.5068","True","$22.1263","False","N/A","$22.48"
DEM,"WisdomTree Emerging Markets Hig","2007-07-12","WisdomTree","Diversified Emerging Mkts","Exchange Traded Fund","-12.953129999999998%","15.540000000000001%","False","1.27013%","-2.18%","True","4.1292%","1.6500000000000001%","True","0.9013500000000001%","3.5900000000000003%","False","1.0","0.0","$37.61","$31.8","$45.6","$37.337","False","$36.6866","False","N/A","$37.83"
DFAX,"Dimensional World ex U.S. Core ","2008-03-05","Dimensional Fund Advisors","Foreign Large Blend","Exchange Traded Fund","-7.909939400000001%","8.189999%","False","4.3705%","0.7799999999999999%","True","5.1824003%","7.1499999999999995%","False","4.81737%","1.76%","True","0.9998","0.0","$22.9","$18.42","$25.43","$22.6554","False","$21.69095","False","N/A","$23.01"
