Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
AUUYX,"AB Cap Fund, Inc. - AB Select U","2011-12-07","AllianceBernstein","Large Blend","None","15.60543%","40.47%","False","18.75171%","16.770001%","True","15.73989%","16.149999%","False","14.12558%","13.209999999999999%","True","0.9774","0.0","$16.29","$15.92","$19.68","$16.4846","True","$17.00895","True","N/A","N/A"
AUUAX,"AB Cap Fund, Inc. - AB Select U","2011-12-07","AllianceBernstein","Large Blend","None","-15.07825%","40.47%","False","8.218169999999999%","16.770001%","False","11.2808704%","16.149999%","False","12.1982%","13.209999999999999%","False","0.97370005","0.0","$16.27","$15.88","$19.66","$16.4668","True","$16.9761","True","N/A","N/A"
AUUCX,"AB Cap Fund, Inc. - AB Select U","2011-12-07","AllianceBernstein","Large Blend","None","-15.671541%","40.47%","False","7.41515%","16.770001%","False","10.4527995%","16.149999%","False","11.37302%","13.209999999999999%","False","0.97370005","0.0","$14.42","$14.19","$17.63","$14.6058","True","$15.14515","True","N/A","N/A"
AUUIX,"AB Cap Fund, Inc. - AB Select U","2011-12-07","AllianceBernstein","Large Blend","None","-14.8489%","40.47%","False","8.48579%","16.770001%","False","11.5654096%","16.149999%","False","12.48302%","13.209999999999999%","False","0.97370005","0.0","$16.04","$15.69","$19.4","$16.2326","True","$16.76005","True","N/A","N/A"
AUUKX,"AB Cap Fund, Inc. - AB Select U","2011-12-07","AllianceBernstein","Large Blend","None","-15.130840000000001%","40.47%","False","8.1767194%","16.770001%","False","11.212458999999999%","16.149999%","False","12.129679%","13.209999999999999%","False","0.97370005","0.0","$16.0","$15.6","$19.32","$16.196","True","$16.68445","True","N/A","N/A"
AUURX,"AB Cap Fund, Inc. - AB Select U","2011-12-07","AllianceBernstein","Large Blend","None","-15.321809%","40.47%","False","7.9081%","16.770001%","False","10.9631%","16.149999%","False","11.891630000000001%","13.209999999999999%","False","0.97370005","0.0","$15.469999","$15.18","$18.82","$15.659","True","$16.2082","True","N/A","N/A"
ADGYX,"AB Core Opportunities Fund, Inc","2010-03-30","AllianceBernstein","Large Blend","None","-4.98098%","40.47%","False","7.40285%","16.770001%","False","10.9388106%","16.149999%","False","12.00442%","13.209999999999999%","False","0.9803","0.0","$19.5","$18.59","$23.33","$19.4794","False","$20.22305","True","N/A","N/A"
ADGAX,"AB Core Opportunities Fund, Inc","1999-12-21","AllianceBernstein","Large Blend","None","8.151399%","40.47%","False","14.336160000000001%","16.770001%","False","13.542399999999999%","16.149999%","False","13.118070000000001%","13.209999999999999%","False","0.97510004","0.0","$18.509998","$17.65","$22.27","$18.4932","False","$19.2558","True","N/A","N/A"
ADGCX,"AB Core Opportunities Fund, Inc","1999-12-21","AllianceBernstein","Large Blend","None","-5.98156%","40.47%","False","6.320620000000001%","16.770001%","False","9.834990000000001%","16.149999%","False","10.89638%","13.209999999999999%","False","0.9803","0.0","$13.15","$12.56","$16.53","$13.146","False","$14.0923","True","N/A","N/A"
ADGIX,"AB Core Opportunities Fund, Inc","2005-02-28","AllianceBernstein","Large Blend","None","-4.99225%","40.47%","False","7.44631%","16.770001%","False","10.97296%","16.149999%","False","12.0423205%","13.209999999999999%","False","0.9803","0.0","$19.890001","$18.96","$23.76","$19.872","False","$20.6069","True","N/A","N/A"
ADGKX,"AB Core Opportunities Fund, Inc","2005-02-28","AllianceBernstein","Large Blend","None","-5.26387%","40.47%","False","7.09152%","16.770001%","False","10.6161095%","16.149999%","False","11.6970904%","13.209999999999999%","False","0.9803","0.0","$18.810001","$17.95","$22.6","$18.8028","False","$19.55025","True","N/A","N/A"
ADGRX,"AB Core Opportunities Fund, Inc","2003-11-02","AllianceBernstein","Large Blend","None","-5.50014%","40.47%","False","6.8205096%","16.770001%","False","10.33394%","16.149999%","False","11.425970000000001%","13.209999999999999%","False","0.9803","0.0","$17.38","$16.58","$21.07","$17.3686","False","$18.17245","True","N/A","N/A"
IFPUX,"Independent Franchise Partners ","2011-12-19","Independent Franchise Partners","Large Blend","None","-10.87697%","40.47%","False","7.9102500000000004%","16.770001%","False","11.1515395%","16.149999%","False","12.11722%","13.209999999999999%","False","0.9925","0.0","$17.43","$16.34","$22.08","$17.5158","True","$18.77225","True","N/A","N/A"
ATAFX,"American Trust Allegiance Fund","1997-03-10","American Trust Company","Large Blend","None","-6.078250000000001%","40.47%","False","5.4854%","16.770001%","False","8.46788%","16.149999%","False","8.08424%","13.209999999999999%","False","0.9518","0.0","$30.140001","$26.79","$31.7","$30.0104","False","$29.31205","False","N/A","N/A"
