Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
WPSGX,"AB Cap Fund, Inc. - AB Concentr","1994-02-27","AllianceBernstein","Large Growth","None","7.9132296%","41.699999999999996%","False","17.84727%","22.559999%","False","17.37119%","21.98%","False","14.737019000000002%","15.989999999999998%","False","0.9872","0.0","$45.9","$40.86","$53.89","$46.3492","True","$45.80665","False","N/A","N/A"
APGYX,"AB Large Cap Growth Fund, Inc. ","1996-09-30","AllianceBernstein","Large Growth","None","11.404391%","41.699999999999996%","False","20.51948%","22.559999%","False","19.07172%","21.98%","False","17.29084%","15.989999999999998%","True","0.945","0.0","$73.380005","$66.14","$88.95","$73.2412","False","$73.149","False","215.0%","N/A"
APGAX,"AB Large Cap Growth Fund, Inc. ","1992-09-27","AllianceBernstein","Large Growth","None","-30.58959%","41.699999999999996%","False","6.2388502%","22.559999%","False","13.515049000000001%","21.98%","False","14.528820000000001%","15.989999999999998%","False","0.9544","0.0","$65.22","$58.9","$79.32","$65.1096","False","$65.1248","False","215.0%","N/A"
APGCX,"AB Large Cap Growth Fund, Inc. ","1993-05-02","AllianceBernstein","Large Growth","None","-31.111240000000002%","41.699999999999996%","False","5.444920000000001%","22.559999%","False","12.67336%","21.98%","False","13.674090999999999%","15.989999999999998%","False","0.9544","0.0","$42.87","$39.01","$52.75","$42.8242","False","$43.07775","True","215.0%","N/A"
ALLIX,"AB Large Cap Growth Fund, Inc. ","2005-02-28","AllianceBernstein","Large Growth","None","-30.412519999999997%","41.699999999999996%","False","6.48914%","22.559999%","False","13.79596%","21.98%","False","14.844829%","15.989999999999998%","False","0.9544","0.0","$72.85","$65.65","$88.3","$72.7112","False","$72.6149","False","215.0%","N/A"
ALCKX,"AB Large Cap Growth Fund, Inc. ","2005-02-28","AllianceBernstein","Large Growth","None","-30.667530999999997%","41.699999999999996%","False","6.1225000000000005%","22.559999%","False","13.405441000000001%","21.98%","False","14.44896%","15.989999999999998%","False","0.9544","0.0","$66.32","$59.9","$80.72","$66.212","False","$66.2396","False","215.0%","N/A"
ABPRX,"AB Large Cap Growth Fund, Inc. ","2003-11-02","AllianceBernstein","Large Growth","None","-30.836162%","41.699999999999996%","False","5.82376%","22.559999%","False","13.07959%","21.98%","False","14.111609999999999%","15.989999999999998%","False","0.9544","0.0","$60.6","$54.82","$73.98","$60.5144","False","$60.60655","True","215.0%","N/A"
AGRYX,"The AB Portfolios - AB Growth F","1996-09-30","AllianceBernstein","Large Growth","None","-31.064199999999996%","41.699999999999996%","False","4.5133%","22.559999%","False","13.056970000000002%","21.98%","False","13.68573%","15.989999999999998%","False","0.95849997","0.0","$95.21","$84.58","$115.9","$94.6468","False","$94.04985","False","N/A","N/A"
AGRFX,"AB Growth Fund Class A","1990-09-03","AllianceBernstein","Large Growth","None","-31.239378000000002%","41.699999999999996%","False","4.2527099999999995%","22.559999%","False","12.774669999999999%","21.98%","False","13.390170000000001%","15.989999999999998%","False","0.95849997","0.0","$83.25","$74.17","$101.78","$82.7714","False","$82.42915","False","N/A","N/A"
AGRCX,"AB Growth Fund Class C","1993-08-01","AllianceBernstein","Large Growth","None","-31.763878000000002%","41.699999999999996%","False","3.4674400000000003%","22.559999%","False","11.9272806%","21.98%","False","12.544350000000001%","15.989999999999998%","False","0.95849997","0.0","$25.060001","$23.22","$32.0","$24.933","False","$25.5357","True","N/A","N/A"
