Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
AUIYX,"AB Equity Income Fund, Inc. - A","1996-09-30","AllianceBernstein","Large Value","None","-1.53624%","42.880002%","False","7.39984%","11.93%","False","9.20675%","12.0699994%","False","9.5880404%","10.95%","False","1.0","0.0","$27.02","$24.82","$31.16","$26.9714","False","$27.27555","True","N/A","N/A"
AUIAX,"AB Equity Income Fund, Inc. - C","1993-10-17","AllianceBernstein","Large Value","None","-1.8070099999999998%","42.880002%","False","7.142360500000001%","11.93%","False","8.9289196%","12.0699994%","False","9.3017%","10.95%","False","1.0","0.0","$26.62","$24.49","$30.74","$26.5742","False","$26.8933","True","N/A","N/A"
AUICX,"AB Equity Income Fund, Inc. - C","1993-10-26","AllianceBernstein","Large Value","None","-2.5396900000000002%","42.880002%","False","6.326460000000001%","11.93%","False","8.11224%","12.0699994%","False","8.49639%","10.95%","False","1.0","0.0","$26.099998","$24.07","$30.22","$26.0752","False","$26.4134","True","N/A","N/A"
AUIIX,"AB Equity Income Fund, Inc. - C","2005-02-28","AllianceBernstein","Large Value","None","-1.5768999999999997%","42.880002%","False","7.35516%","11.93%","False","9.16868%","12.0699994%","False","9.56507%","10.95%","False","1.0","0.0","$26.53","$24.4","$30.64","$26.4832","False","$26.8045","True","N/A","N/A"
AUIKX,"AB Equity Income Fund, Inc. - C","2005-02-28","AllianceBernstein","Large Value","None","14.249110000000002%","42.880002%","False","12.46574%","11.93%","True","11.107569999999999%","12.0699994%","False","10.299949%","10.95%","False","0.9987","0.0","$26.630001","$24.5","$30.76","$26.5924","False","$26.91165","True","N/A","N/A"
AUIRX,"AB Equity Income Fund, Inc. - C","2005-02-28","AllianceBernstein","Large Value","None","-2.2030301%","42.880002%","False","6.667679499999999%","11.93%","False","8.4694296%","12.0699994%","False","8.87021%","10.95%","False","1.0","0.0","$26.400002","$24.32","$30.53","$26.3708","False","$26.69915","True","N/A","N/A"
CBBYX,"AB Relative Value Fund - ADV","1996-09-30","AllianceBernstein","Large Value","None","2.34951%","42.880002%","False","10.12159%","11.93%","False","10.456809999999999%","12.0699994%","False","11.12539%","10.95%","True","0.95239997","0.0","$6.06","$5.61","$6.79","$6.0798","True","$6.12845","True","N/A","N/A"
CABDX,"AB Relative Value Fund - A","1932-06-30","AllianceBernstein","Large Value","None","1.9326599999999998%","42.880002%","False","9.821261%","11.93%","False","10.1685494%","12.0699994%","False","10.82907%","10.95%","False","0.95239997","0.0","$6.0","$5.55","$6.72","$6.0178","True","$6.0623","True","N/A","N/A"
CBBCX,"AB Relative Value Fund - C","1993-05-02","AllianceBernstein","Large Value","None","1.1592899%","42.880002%","False","9.004760000000001%","11.93%","False","9.35128%","12.0699994%","False","10.009369999999999%","10.95%","False","0.95239997","0.0","$6.02","$5.54","$6.73","$6.0402","True","$6.06415","True","N/A","N/A"
CBBIX,"AB Relative Value Fund - I","2005-02-28","AllianceBernstein","Large Value","None","2.28226%","42.880002%","False","10.093819%","11.93%","False","10.47275%","12.0699994%","False","11.1414805%","10.95%","True","0.95239997","0.0","$6.16","$5.69","$6.88","$6.1734","True","$6.2165","True","N/A","N/A"
CBBKX,"AB Relative Value Fund - K","2005-02-28","AllianceBernstein","Large Value","None","12.4808505%","42.880002%","False","13.252559999999999%","11.93%","True","12.14957%","12.0699994%","True","11.891889599999999%","10.95%","True","0.9309","0.0","$5.93","$5.48","$6.64","$5.9454","True","$5.9904","True","N/A","N/A"
CBBRX,"AB Relative Value Fund - R","2003-11-02","AllianceBernstein","Large Value","None","1.8361500999999998%","42.880002%","False","9.5932%","11.93%","False","9.922%","12.0699994%","False","10.55653%","10.95%","False","0.95239997","0.0","$5.91","$5.45","$6.62","$5.9328","True","$5.9663","True","N/A","N/A"
ABVYX,"AB Value Fund Advisor Class","2001-03-28","AllianceBernstein","Large Value","None","-0.35454%","42.880002%","False","9.224690500000001%","11.93%","False","6.87267%","12.0699994%","False","8.217341000000001%","10.95%","False","0.9983","0.0","$15.429999","$14.32","$17.93","$15.3408","False","$15.9918","True","N/A","N/A"
ABVAX,"AB Value Fund Class A","2001-03-28","AllianceBernstein","Large Value","None","-0.61154%","42.880002%","False","8.939999%","11.93%","False","6.60602%","12.0699994%","False","7.928680000000001%","10.95%","False","0.9983","0.0","$15.42","$14.31","$17.91","$15.3322","False","$15.96565","True","N/A","N/A"
ABVCX,"AB Value Fund Class C","2001-03-28","AllianceBernstein","Large Value","None","-1.3036099%","42.880002%","False","8.15005%","11.93%","False","5.81422%","12.0699994%","False","7.13902%","10.95%","False","0.9983","0.0","$15.59","$14.49","$18.06","$15.514","False","$16.08","True","N/A","N/A"
ABVIX,"AB Value Fund Class I","2005-02-28","AllianceBernstein","Large Value","None","-0.32300001%","42.880002%","False","9.262089399999999%","11.93%","False","6.91737%","12.0699994%","False","8.25966%","10.95%","False","0.9983","0.0","$15.26","$14.15","$17.75","$15.163","False","$15.8242","True","N/A","N/A"
ABVKX,"AB Trust - AB Value Fund - Clas","2005-02-28","AllianceBernstein","Large Value","None","-0.74400995%","42.880002%","False","8.79056%","11.93%","False","6.4536999999999995%","12.0699994%","False","7.80262%","10.95%","False","0.9983","0.0","$15.07","$13.99","$17.54","$14.9856","False","$15.6207","True","N/A","N/A"
ABVRX,"AB Trust - AB Value Fund - Clas","2003-11-02","AllianceBernstein","Large Value","None","-0.9969499999999999%","42.880002%","False","8.4747106%","11.93%","False","6.14194%","12.0699994%","False","7.477150000000001%","10.95%","False","0.9983","0.0","$15.36","$14.26","$17.83","$15.2754","False","$15.87515","True","N/A","N/A"
LOMAX,"Edgar Lomax Value Fd","1997-12-11","Edgar Lomax","Large Value","None","14.41693%","42.880002%","False","10.7177295%","11.93%","False","11.4570305%","12.0699994%","False","11.203088999999999%","10.95%","True","0.97110003","0.0","$13.54","$13.06","$15.83","$13.875","True","$14.24395","True","N/A","N/A"
HUDEX,"Huber Capital Diversified Large","2012-12-30","Huber Funds","Large Value","None","0.2893%","42.880002%","False","4.547969999999999%","11.93%","False","7.9786904000000005%","12.0699994%","False","8.586030000000001%","10.95%","False","0.9881","0.0","$18.66","$16.7","$19.64","$18.5882","False","$18.33185","False","N/A","N/A"
HUDIX,"Huber Capital Diversified Large","2012-12-30","Huber Funds","Large Value","None","13.52967%","42.880002%","False","11.64887%","11.93%","False","11.1524604%","12.0699994%","False","0.0%","10.95%","False","0.9889","0.0","$18.58","$16.6","$19.55","$18.5122","False","$18.23835","False","N/A","N/A"
HULEX,"Huber Capital Equity Income Fd ","2011-10-24","Huber Funds","Large Value","None","2.3417398%","42.880002%","False","9.4320096%","11.93%","False","10.93252%","12.0699994%","False","9.9465996%","10.95%","False","0.9892","0.0","$24.55","$21.75","$25.4","$24.4414","False","$23.88235","False","N/A","N/A"
HULIX,"Huber Capital Equity Income Fd ","2007-06-28","Huber Funds","Large Value","None","19.24716%","42.880002%","False","17.30723%","11.93%","True","13.72496%","12.0699994%","True","10.8489506%","10.95%","False","0.9936","0.0","$24.6","$21.79","$25.46","$24.501","False","$23.9272","False","N/A","N/A"
PFPFX,"Poplar Forest Partners Fund Cla","2009-12-30","Poplar Forest Capital","Large Value","None","17.975459999999998%","42.880002%","False","15.111369999999999%","11.93%","True","10.5924994%","12.0699994%","False","11.071049400000001%","10.95%","True","0.9895","0.0","$50.69","$46.07","$56.21","$51.0998","True","$51.2294","True","N/A","N/A"
IPFPX,"Poplar Forest Partners Fund Ins","2009-12-30","Poplar Forest Capital","Large Value","None","0.8169901%","42.880002%","False","11.6895705%","11.93%","False","6.5731704%","12.0699994%","False","10.946829600000001%","10.95%","False","0.9511","0.0","$50.72","$46.16","$56.25","$51.1208","True","$51.2897","True","N/A","N/A"
LOGIX,"Scharf Fund - Institutional Cla","2011-12-29","Scharf Investments","Large Value","None","-9.6314%","42.880002%","False","7.58896%","11.93%","False","9.37288%","12.0699994%","False","10.4731396%","10.95%","False","0.8821","0.0","$47.62","$44.38","$54.63","$47.891","True","$48.77235","True","N/A","N/A"
