Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
CAMMX,"Cambiar Smid 30 Fund Investor C","2011-05-30","Cambiar Funds","Mid-Cap Blend","None","2.5057299%","50.44%","False","13.703389999999999%","13.149999000000001%","True","13.72561%","13.750000000000002%","False","12.14021%","11.350001%","True","0.92480004","0.0","$22.93","$18.83","$23.53","$22.5592","False","$21.24465","False","N/A","N/A"
OPMSX,"Invesco Main Street Mid Cap Fun","1999-08-01","Invesco","Mid-Cap Blend","None","-14.795530000000001%","50.44%","False","4.53271%","13.149999000000001%","False","7.095949999999999%","13.750000000000002%","False","8.8951394%","11.350001%","False","0.99050003","0.0","$24.72","$21.86","$27.8","$24.3554","False","$24.14045","False","N/A","N/A"
OPMCX,"Invesco Main Street Mid Cap Fun","1999-08-01","Invesco","Mid-Cap Blend","None","-15.4647%","50.44%","False","3.74065%","13.149999000000001%","False","6.29316%","13.750000000000002%","False","8.0768995%","11.350001%","False","0.99050003","0.0","$17.33","$15.63","$19.9","$17.0898","False","$17.1511","False","N/A","N/A"
OPMNX,"Invesco Main Street Mid Cap Fun","2001-02-28","Invesco","Mid-Cap Blend","None","-15.04797%","50.44%","False","4.2714099999999995%","13.149999000000001%","False","6.83496%","13.750000000000002%","False","8.6194895%","11.350001%","False","0.99050003","0.0","$22.5","$19.99","$25.43","$22.1822","False","$22.0386","False","N/A","N/A"
OPMIX,"Invesco Main Street Mid Cap Fun","2012-10-25","Invesco","Mid-Cap Blend","None","-14.49171%","50.44%","False","4.9464896000000005%","13.149999000000001%","False","7.53895%","13.750000000000002%","False","9.363249999999999%","11.350001%","False","0.99050003","0.0","$27.95","$24.66","$31.33","$27.5328","False","$27.25995","False","N/A","N/A"
OPMYX,"Invesco Main Street Mid Cap Fun","1999-08-01","Invesco","Mid-Cap Blend","None","8.0476195%","50.44%","False","13.79321%","13.149999000000001%","True","11.48184%","13.750000000000002%","False","10.96379%","11.350001%","False","0.9936","0.0","$27.96","$24.65","$31.33","$27.5424","False","$27.24865","False","N/A","N/A"
ATDAX,"Invesco Endeavor Fund Class A S","2003-11-03","Invesco","Mid-Cap Blend","None","65.61000299999999%","50.44%","True","5.59%","13.149999000000001%","False","5.9299998%","13.750000000000002%","False","8.140001%","11.350001%","False","0.9917","0.0","$16.609999","$12.63","$19.1","$18.32931","True","$17.359083","True","104.0%","N/A"
ATDCX,"Invesco Endeavor Fund Class C S","2003-11-03","Invesco","Mid-Cap Blend","None","64.48%","50.44%","True","4.82%","13.149999000000001%","False","5.1499999999999995%","13.750000000000002%","False","7.340000000000001%","11.350001%","False","0.9917","0.0","$13.14","$10.52","$15.59","$14.924828","True","$14.245572","True","104.0%","N/A"
ATDRX,"Invesco Endeavor Fund Class R  ","2004-04-29","Invesco","Mid-Cap Blend","None","65.26999500000001%","50.44%","True","5.35%","13.149999000000001%","False","5.6700002%","13.750000000000002%","False","7.88%","11.350001%","False","0.9917","0.0","$15.59","$12.0","$18.05","$17.316551","True","$16.432673","True","104.0%","N/A"
ATDIX,"Invesco Endeavor Fund Class R5","2004-04-29","Invesco","Mid-Cap Blend","None","66.269994%","50.44%","True","6.0%","13.149999000000001%","False","6.329999999999999%","13.750000000000002%","False","8.559999999999999%","11.350001%","False","0.9917","0.0","$18.16","$13.58","$20.73","$19.905172","True","$18.7971","True","104.0%","N/A"
ATDFX,"Invesco Endeavor Fund Cl R6","2012-09-23","Invesco","Mid-Cap Blend","None","66.33999299999999%","50.44%","True","6.0500003%","13.149999000000001%","False","6.41%","13.750000000000002%","False","0.0%","11.350001%","False","0.9917","0.0","$18.32","$13.68","$20.89","$20.062414","True","$18.940763","True","104.0%","N/A"
ATDYX,"Invesco Endeavor Fund Class Y","2008-10-02","Invesco","Mid-Cap Blend","None","66.019994%","50.44%","True","5.87%","13.149999000000001%","False","6.2%","13.750000000000002%","False","8.41%","11.350001%","False","0.9917","0.0","$17.400002","$13.12","$19.94","$19.13862","True","$18.095955","True","104.0%","N/A"
SSEIX,"AMG SouthernSun U.S. Equity Fun","2012-04-09","SouthernSun Asset Management","Mid-Cap Blend","None","-4.2972002%","50.44%","False","10.210379999999999%","13.149999000000001%","False","6.475110000000001%","13.750000000000002%","False","7.7100605%","11.350001%","False","0.9311","0.0","$14.09","$12.71","$16.81","$13.7502","False","$14.99505","True","N/A","N/A"
SSEFX,"AMG SouthernSun U.S. Equity Fun","2012-04-09","SouthernSun Asset Management","Mid-Cap Blend","None","-4.59544%","50.44%","False","9.91222%","13.149999000000001%","False","6.20123%","13.750000000000002%","False","7.43848%","11.350001%","False","0.9311","0.0","$14.14","$12.75","$16.87","$13.7964","False","$15.0496","True","N/A","N/A"
ATGAX,"Aquila Three Peaks Opportunity ","1994-07-21","Aquila","Mid-Cap Blend","None","-16.219561%","50.44%","False","2.89642%","13.149999000000001%","False","7.18666%","13.750000000000002%","False","10.52392%","11.350001%","False","0.98120004","0.0","$37.41","$35.69","$45.41","$37.344","False","$39.2676","True","241.0%","N/A"
ATGCX,"Aquila Three Peaks Opportunity ","1996-04-30","Aquila","Mid-Cap Blend","None","-16.80336%","50.44%","False","2.17375%","13.149999000000001%","False","6.43507%","13.750000000000002%","False","9.7417094%","11.350001%","False","0.98120004","0.0","$23.34","$22.29","$30.06","$23.313","False","$25.51455","True","241.0%","N/A"
ATRIX,"Aquila Three Peaks Opportunity ","2005-11-30","Aquila","Mid-Cap Blend","None","-16.191311%","50.44%","False","2.95003%","13.149999000000001%","False","7.24514%","13.750000000000002%","False","10.65602%","11.350001%","False","0.98120004","0.0","$40.12","$38.26","$48.37","$40.0444","False","$41.9175","True","241.0%","N/A"
ATGYX,"Aquila Three Peaks Opportunity ","1996-04-30","Aquila","Mid-Cap Blend","None","-15.956600000000002%","50.44%","False","3.2028798%","13.149999000000001%","False","7.505809500000001%","13.750000000000002%","False","10.855960000000001%","11.350001%","False","0.98120004","0.0","$43.21","$41.2","$51.67","$43.121","False","$44.912","True","241.0%","N/A"
MRSPX,"BlackRock Advantage U.S. Total ","2003-02-03","BlackRock","Mid-Cap Blend","None","-4.5046903%","50.44%","False","4.42059%","13.149999000000001%","False","7.4970300000000005%","13.750000000000002%","False","9.30274%","11.350001%","False","0.9904","0.0","$13.04","$11.21","$14.3","$12.8054","False","$12.4142","False","N/A","N/A"
MASPX,"BlackRock Advantage U.S. Total ","1978-05-04","BlackRock","Mid-Cap Blend","None","-4.03685%","50.44%","False","4.9479500000000005%","13.149999000000001%","False","8.033479999999999%","13.750000000000002%","False","9.87482%","11.350001%","False","0.9904","0.0","$24.470001","$20.89","$26.57","$24.0202","False","$23.1687","False","N/A","N/A"
MDSPX,"BlackRock Advantage U.S. Total ","1994-10-20","BlackRock","Mid-Cap Blend","None","-4.2111002%","50.44%","False","4.70305%","13.149999000000001%","False","7.772170000000001%","13.750000000000002%","False","9.6051306%","11.350001%","False","0.9904","0.0","$22.82","$19.48","$24.79","$22.3982","False","$21.6011","False","N/A","N/A"
MCSPX,"BlackRock Advantage U.S. Total ","1994-10-20","BlackRock","Mid-Cap Blend","None","-4.994009800000001%","50.44%","False","3.9124100000000004%","13.149999000000001%","False","6.954789999999999%","13.750000000000002%","False","8.73944%","11.350001%","False","0.9904","0.0","$10.11","$8.72","$11.15","$9.9298","False","$9.6501","False","N/A","N/A"
DMCVX,"BNY Mellon Opportunistic Midcap","1995-09-28","BNY Mellon","Mid-Cap Blend","None","-7.76396%","50.44%","False","8.233799999999999%","13.149999000000001%","False","7.35543%","13.750000000000002%","False","9.6215%","11.350001%","False","0.97540003","0.0","$28.52","$27.11","$33.99","$28.812","True","$29.28975","True","N/A","N/A"
DVLCX,"BNY Mellon Opportunistic Midcap","2008-05-29","BNY Mellon","Mid-Cap Blend","None","-8.50479%","50.44%","False","7.37134%","13.149999000000001%","False","6.52669%","13.750000000000002%","False","8.78664%","11.350001%","False","0.97540003","0.0","$21.96","$21.01","$26.76","$22.1984","True","$22.8707","True","N/A","N/A"
DVLIX,"BNY Mellon Opportunistic Midcap","2008-05-29","BNY Mellon","Mid-Cap Blend","None","-7.57172%","50.44%","False","8.45185%","13.149999000000001%","False","7.603370399999999%","13.750000000000002%","False","9.89203%","11.350001%","False","0.97540003","0.0","$28.349998","$26.99","$33.81","$28.6274","True","$29.1404","True","N/A","N/A"
DPSAX,"BNY Mellon Structured Midcap Fu","2001-06-28","BNY Mellon","Mid-Cap Blend","None","45.05754%","50.44%","False","14.03171%","13.149999000000001%","True","9.823%","13.750000000000002%","False","12.20917%","11.350001%","True","0.9984","0.0","$28.789999","$26.93","$36.24","$32.8816","True","$33.187","True","N/A","N/A"
DPSCX,"BNY Mellon Structured Midcap Fu","2001-06-28","BNY Mellon","Mid-Cap Blend","None","43.979758000000004%","50.44%","False","13.17153%","13.149999000000001%","True","9.0082504%","13.750000000000002%","False","11.37813%","11.350001%","True","0.9984","0.0","$22.91","$22.58","$30.3","$27.172","True","$27.73335","True","N/A","N/A"
DPSRX,"BNY Mellon Structured Midcap Fu","2001-06-28","BNY Mellon","Mid-Cap Blend","None","45.360488%","50.44%","False","14.31089%","13.149999000000001%","True","10.10202%","13.750000000000002%","False","12.47799%","11.350001%","True","0.9984","0.0","$29.7","$27.62","$37.18","$33.7756","True","$34.0294","True","N/A","N/A"
PESPX,"BNY Mellon Midcap Index Fund, I","1991-06-18","BNY Mellon","Mid-Cap Blend","None","-14.20553%","50.44%","False","6.645180000000001%","13.149999000000001%","False","7.519620000000001%","13.750000000000002%","False","9.91234%","11.350001%","False","1.0","0.0","$28.68","$26.16","$34.9","$28.306","False","$29.97905","True","N/A","N/A"
DNLDX,"BNY Mellon Active MidCap Fund C","1985-01-28","BNY Mellon","Mid-Cap Blend","None","-14.009450000000001%","50.44%","False","5.99017%","13.149999000000001%","False","5.62044%","13.750000000000002%","False","9.32076%","11.350001%","False","0.998","0.0","$52.43","$46.56","$61.16","$51.578","False","$51.2083","False","N/A","N/A"
DNLCX,"BNY Mellon Active MidCap Fund C","2002-11-26","BNY Mellon","Mid-Cap Blend","None","-14.698711000000001%","50.44%","False","5.06994%","13.149999000000001%","False","4.7108002%","13.750000000000002%","False","8.38621%","11.350001%","False","0.998","0.0","$45.27","$40.38","$53.41","$44.569","False","$44.3838","False","N/A","N/A"
DNLRX,"BNY Mellon Active MidCap Fund C","2002-11-26","BNY Mellon","Mid-Cap Blend","None","-13.80969%","50.44%","False","6.2192%","13.149999000000001%","False","5.8529%","13.750000000000002%","False","9.55163%","11.350001%","False","0.998","0.0","$52.84","$46.98","$61.77","$51.9654","False","$51.64105","False","N/A","N/A"
BTMFX,"Boston Trust Midcap Fund","2007-09-23","Boston Trust Walden Funds","Mid-Cap Blend","None","1.63371%","50.44%","False","8.3132096%","13.149999000000001%","False","11.051988999999999%","13.750000000000002%","False","11.10639%","11.350001%","False","0.9895","0.0","$22.119999","$19.81","$24.19","$22.0126","False","$21.70955","False","N/A","N/A"
BTSMX,"Boston Trust SMID Cap Fund","2011-11-29","Boston Trust Walden Funds","Mid-Cap Blend","None","1.34868%","50.44%","False","9.76911%","13.149999000000001%","False","10.935319999999999%","13.750000000000002%","False","10.874130599999999%","11.350001%","False","0.977","0.0","$21.470001","$19.14","$23.48","$21.3844","False","$21.02805","False","N/A","N/A"
WAMFX,"Boston Trust Walden Midcap Fund","2011-07-31","Boston Trust Walden Funds","Mid-Cap Blend","None","1.7563098999999998%","50.44%","False","8.421090000000001%","13.149999000000001%","False","10.93702%","13.750000000000002%","False","11.0094%","11.350001%","False","0.9874","0.0","$20.67","$18.6","$22.78","$20.5442","False","$20.34495","False","N/A","N/A"
WASMX,"Boston Trust Walden SMID Cap Fu","2012-06-27","Boston Trust Walden Funds","Mid-Cap Blend","None","-0.09472%","50.44%","False","9.05571%","13.149999000000001%","False","10.26862%","13.750000000000002%","False","10.399949999999999%","11.350001%","False","0.9846","0.0","$20.689999","$18.54","$22.78","$20.472","False","$20.2844","False","N/A","N/A"
BWNYX,"Bullfinch Western New York Seri","1997-12-29","Bullfinch","Mid-Cap Blend","None","-1.09453%","50.44%","False","5.7525903000000005%","13.149999000000001%","False","4.96858%","13.750000000000002%","False","7.045039999999999%","11.350001%","False","0.8123","0.0","$23.73","$22.0","$25.23","$23.4194","False","$23.46165","False","N/A","N/A"
CCAFX,"Calvert Mid-Cap Fund Class A","1994-10-30","Calvert Research and Management","Mid-Cap Blend","None","-8.2843706%","50.44%","False","2.6006801%","13.149999000000001%","False","7.2367504%","13.750000000000002%","False","7.5199%","11.350001%","False","0.98190004","0.0","$33.079998","$28.41","$37.07","$32.9096","False","$31.80285","False","N/A","N/A"
CCACX,"Calvert Mid-Cap Fund Class C","1994-10-30","Calvert Research and Management","Mid-Cap Blend","None","1.22329%","50.44%","False","9.95212%","13.149999000000001%","False","8.715829999999999%","13.750000000000002%","False","8.3717205%","11.350001%","False","0.9845","0.0031","$20.220001","$17.41","$22.81","$20.134","False","$19.4956","False","N/A","N/A"
CCPIX,"Calvert Mid-Cap Fund Class I","1999-02-25","Calvert Research and Management","Mid-Cap Blend","None","-8.06415%","50.44%","False","2.8553901%","13.149999000000001%","False","7.54387%","13.750000000000002%","False","7.93968%","11.350001%","False","0.98190004","0.0","$40.68","$34.97","$45.57","$40.461","False","$39.12555","False","N/A","N/A"
UMBMX,"Carillon Scout Mid Cap Fund Cla","2006-10-30","Carillon Family of Funds","Mid-Cap Blend","None","6.19475%","50.44%","False","15.594050000000001%","13.149999000000001%","True","15.157889999999998%","13.750000000000002%","True","12.562801%","11.350001%","True","0.9933","0.0","$20.13","$18.79","$24.63","$20.1338","True","$20.5406","True","N/A","N/A"
TARKX,"Tarkio Fund","2011-06-27","Clark Fork Trust","Mid-Cap Blend","None","-1.73309%","50.44%","False","15.67681%","13.149999000000001%","True","15.284619999999999%","13.750000000000002%","True","12.979330000000001%","11.350001%","True","0.9972","0.0","$22.880001","$18.85","$30.05","$21.6684","False","$22.3909","False","N/A","N/A"
