Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
CHCLX,"AB Discovery Growth Fund, Inc. ","1938-07-06","AllianceBernstein","Mid-Cap Growth","None","-15.173669%","48.169996999999995%","False","3.87601%","21.260001%","False","11.0829696%","20.18%","False","10.3935%","14.069999999999999%","False","0.9879","0.0","$9.2","$7.76","$11.27","$8.9474","False","$8.7972","False","0.0%","N/A"
CHCCX,"AB Discovery Growth Fund, Inc. ","1993-05-02","AllianceBernstein","Mid-Cap Growth","None","-15.68123%","48.169996999999995%","False","3.1282200000000002%","21.260001%","False","10.245700000000001%","20.18%","False","9.5388204%","14.069999999999999%","False","0.9879","0.0","$3.25","$2.76","$4.01","$3.1618","False","$3.11555","False","0.0%","N/A"
CHCIX,"AB Discovery Growth Fund, Inc. ","2005-02-28","AllianceBernstein","Mid-Cap Growth","None","-14.876030000000002%","48.169996999999995%","False","4.11437%","21.260001%","False","11.32978%","20.18%","False","10.6487304%","14.069999999999999%","False","0.9879","0.0","$10.21","$8.6","$12.47","$9.9248","False","$9.7505","False","0.0%","N/A"
CHCKX,"AB Discovery Growth Fund, Inc. ","2005-02-28","AllianceBernstein","Mid-Cap Growth","None","-15.16854%","48.169996999999995%","False","3.75242%","21.260001%","False","10.936269999999999%","20.18%","False","10.256199500000001%","14.069999999999999%","False","0.9879","0.0","$8.969999","$7.58","$11.0","$8.7274","False","$8.584","False","0.0%","N/A"
CHCRX,"AB Discovery Growth Fund, Inc. ","2005-02-28","AllianceBernstein","Mid-Cap Growth","None","-15.36864%","48.169996999999995%","False","3.48461%","21.260001%","False","10.6237605%","20.18%","False","9.9452496%","14.069999999999999%","False","0.9879","0.0","$8.07","$6.83","$9.92","$7.852","False","$7.72785","False","0.0%","N/A"
CIPMX,"Champlain Mid Cap Fund","2008-06-29","Champlain Funds","Mid-Cap Growth","None","-26.05615%","48.169996999999995%","False","5.85013%","21.260001%","False","10.77077%","20.18%","False","12.7518%","14.069999999999999%","False","0.9768","0.0","$21.460001","$19.02","$25.36","$21.1586","False","$20.75915","False","N/A","N/A"
CIPIX,"Champlain Mid Cap Fund Insti Cl","2011-01-02","Champlain Funds","Mid-Cap Growth","None","-25.8829%","48.169996999999995%","False","6.109290199999999%","21.260001%","False","11.0457%","20.18%","False","13.026769999999999%","14.069999999999999%","False","0.9768","0.0","$22.24","$19.69","$26.21","$21.9236","False","$21.48615","False","N/A","N/A"
OEGAX,"Invesco Discovery Mid Cap Growt","2000-10-31","Invesco","Mid-Cap Growth","None","-30.155510000000003%","48.169996999999995%","False","4.1020002%","21.260001%","False","11.10549%","20.18%","False","11.0297896%","14.069999999999999%","False","0.97410005","0.0","$21.710001","$19.32","$25.72","$21.3766","False","$21.4347","False","N/A","N/A"
OEGCX,"Invesco Discovery Mid Cap Growt","2000-10-31","Invesco","Mid-Cap Growth","None","-30.693527999999997%","48.169996999999995%","False","3.35236%","21.260001%","False","10.28267%","20.18%","False","10.1950705%","14.069999999999999%","False","0.97410005","0.0","$15.52","$13.89","$18.52","$15.297","False","$15.37255","False","N/A","N/A"
OEGNX,"Invesco Discovery Mid Cap Growt","2001-02-28","Invesco","Mid-Cap Growth","None","-30.331570000000003%","48.169996999999995%","False","3.8589100000000003%","21.260001%","False","10.8311996%","20.18%","False","10.74189%","14.069999999999999%","False","0.97410005","0.0","$19.42","$17.31","$23.06","$19.1282","False","$19.1948","False","N/A","N/A"
OEGYX,"Invesco Discovery Mid Cap Growt","2000-10-31","Invesco","Mid-Cap Growth","None","-2.3585899%","48.169996999999995%","False","17.54474%","21.260001%","False","16.223119%","20.18%","False","13.730049999999999%","14.069999999999999%","False","0.9775","0.0","$25.74","$22.87","$30.43","$25.3432","False","$25.3931","False","N/A","N/A"
AMGAX,"Alger Mid Cap Growth Fund Class","1996-12-30","Alger","Mid-Cap Growth","None","-35.9199%","48.169996999999995%","False","3.6821797000000003%","21.260001%","False","9.64865%","20.18%","False","9.87644%","14.069999999999999%","False","0.90900004","0.0","$11.21","$9.99","$14.07","$10.982","False","$10.98865","False","120.0%","N/A"
AMCGX,"Alger Mid Cap Growth Fund Class","1993-05-23","Alger","Mid-Cap Growth","None","-35.92814%","48.169996999999995%","False","3.7402797000000003%","21.260001%","False","9.39638%","20.18%","False","9.40483%","14.069999999999999%","False","0.90900004","0.0","$7.02","$6.26","$8.82","$6.8792","False","$6.88395","False","120.0%","N/A"
AMGCX,"Alger Mid Cap Growth Fund Class","1997-07-30","Alger","Mid-Cap Growth","None","-36.47932%","48.169996999999995%","False","2.84112%","21.260001%","False","8.77065%","20.18%","False","8.9871705%","14.069999999999999%","False","0.90900004","0.0","$6.55","$5.86","$8.28","$6.4194","False","$6.43985","False","120.0%","N/A"
ASIMX,"Alger Weatherbie Specialized Gr","2007-08-05","Alger","Mid-Cap Growth","None","-12.0186396%","48.169996999999995%","False","14.17873%","21.260001%","False","18.790331%","20.18%","False","13.587959999999999%","14.069999999999999%","False","0.95879996","0.0","$12.059999","$10.64","$15.78","$12.0824","True","$11.9115","False","97.0%","N/A"
ALMRX,"Alger Mid Cap Growth Institutio","1993-11-07","Alger","Mid-Cap Growth","None","-13.252510000000001%","48.169996999999995%","False","16.35444%","21.260001%","False","15.751149999999999%","20.18%","False","13.16535%","14.069999999999999%","False","0.98330003","0.0","$17.74","$15.83","$22.32","$17.3766","False","$17.3932","False","533.0%","N/A"
AGIRX,"Alger Mid Cap Growth Institutio","2003-01-26","Alger","Mid-Cap Growth","None","-36.359%","48.169996999999995%","False","2.37044%","21.260001%","False","8.5901%","20.18%","False","9.34642%","14.069999999999999%","False","0.9393","0.0","$13.63","$12.18","$17.22","$13.3532","False","$13.3867","False","533.0%","N/A"
DRMAX,"AllianzGI Mid-Cap Fund, Admin C","2002-02-04","Virtus","Mid-Cap Growth","None","-32.669318000000004%","48.169996999999995%","False","6.26601%","21.260001%","False","11.093169999999999%","20.18%","False","12.0584205%","14.069999999999999%","False","0.9893","0.0","$3.65","$3.12","$4.37","$3.5522","False","$3.4754","False","N/A","N/A"
RMDAX,"AllianzGI Mid Cap Class A","2002-02-04","Virtus","Mid-Cap Growth","None","-32.35955%","48.169996999999995%","False","5.69341%","21.260001%","False","10.77558%","20.18%","False","11.3935806%","14.069999999999999%","False","0.9973","0.0","$3.28","$2.81","$3.93","$3.2","False","$3.1298","False","N/A","N/A"
RMDCX,"AllianzGI Mid Cap Class C","2002-02-04","Virtus","Mid-Cap Growth","None","-32.75862%","48.169996999999995%","False","4.86902%","21.260001%","False","9.93741%","20.18%","False","10.55146%","14.069999999999999%","False","0.9973","0.0","$2.1200001","$1.83","$2.55","$2.069","False","$2.02815","False","N/A","N/A"
ARMPX,"AllianzGI Mid-Cap Fd Cl P","2012-04-01","Virtus","Mid-Cap Growth","None","-33.450088%","48.169996999999995%","False","5.88131%","21.260001%","False","11.010101%","20.18%","False","12.0982796%","14.069999999999999%","False","0.9893","0.0","$4.18","$3.57","$4.98","$4.0666","False","$3.9746","False","N/A","N/A"
