Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
MSAVX,"Invesco American Value Fund Cla","1993-10-17","Invesco","Mid-Cap Value","None","-3.12729%","55.83%","False","7.80686%","11.08%","False","6.81107%","11.93%","False","8.82769%","10.6400006%","False","0.9451","0.0","$29.57","$28.48","$39.92","$30.9532","True","$34.508","True","N/A","N/A"
MSVCX,"Invesco American Value Fund Cla","1993-10-17","Invesco","Mid-Cap Value","None","-3.7954300000000005%","55.83%","False","7.0405%","11.08%","False","6.05147%","11.93%","False","8.043060500000001%","10.6400006%","False","0.9451","0.0","$19.5","$19.11","$29.95","$21.114","True","$25.3109","True","N/A","N/A"
MSARX,"Invesco American Value Fund Cla","2007-03-19","Invesco","Mid-Cap Value","None","-3.3628699999999996%","55.83%","False","7.5550500000000005%","11.08%","False","6.5506905%","11.93%","False","8.55634%","10.6400006%","False","0.9451","0.0","$29.14","$28.08","$39.5","$30.526","True","$34.0966","True","N/A","N/A"
MSAJX,"Invesco American Value Fund R5 ","2010-05-31","Invesco","Mid-Cap Value","None","-2.8222400000000003%","55.83%","False","8.17737%","11.08%","False","7.17563%","11.93%","False","9.20744%","10.6400006%","False","0.9451","0.0","$30.05","$28.91","$40.37","$31.428","True","$34.96315","True","N/A","N/A"
MSAFX,"Invesco American Value Fund Cla","2012-09-23","Invesco","Mid-Cap Value","None","-2.7223200999999997%","55.83%","False","8.25366%","11.08%","False","7.254039499999999%","11.93%","False","9.29058%","10.6400006%","False","0.9451","0.0","$30.05","$28.91","$40.37","$31.4314","True","$34.9715","True","N/A","N/A"
MSAIX,"Invesco American Value Fund Cla","2006-02-06","Invesco","Mid-Cap Value","None","11.598709999999999%","55.83%","False","12.33651%","11.08%","True","10.3457496%","11.93%","False","9.6983604%","10.6400006%","False","0.96980006","0.0","$30.0","$28.87","$40.34","$31.3808","True","$34.92075","True","N/A","N/A"
VVOAX,"Invesco Value Opportunities Fun","2001-06-24","Invesco","Mid-Cap Value","None","-1.2546998999999999%","55.83%","False","13.276571%","11.08%","True","9.4536304%","11.93%","False","9.858639499999999%","10.6400006%","False","0.9397","0.0","$16.31","$14.41","$18.07","$16.278","False","$16.23405","False","N/A","N/A"
VVOCX,"Invesco Value Opportunities Fun","2001-06-24","Invesco","Mid-Cap Value","None","-2.01792%","55.83%","False","12.434989999999999%","11.08%","True","8.674560000000001%","11.93%","False","9.07123%","10.6400006%","False","0.9397","0.0","$14.82","$13.17","$16.58","$14.7976","False","$14.81915","False","N/A","N/A"
VVORX,"Invesco Value Opportunities Fun","2012-05-22","Invesco","Mid-Cap Value","None","-1.53907%","55.83%","False","13.00229%","11.08%","True","9.185780000000001%","11.93%","False","9.58407%","10.6400006%","False","0.9397","0.0","$16.050001","$14.18","$17.8","$16.0154","False","$15.9757","False","N/A","N/A"
VVONX,"Invesco Value Opportunities Fun","2011-05-22","Invesco","Mid-Cap Value","None","-0.9584199999999999%","55.83%","False","13.70178%","11.08%","True","9.86201%","11.93%","False","10.2958605%","10.6400006%","False","0.9397","0.0","$16.54","$14.62","$18.31","$16.499","False","$16.46","False","N/A","N/A"
VVOIX,"Invesco Value Opportunities Fun","2005-03-22","Invesco","Mid-Cap Value","None","18.305211%","55.83%","False","17.91798%","11.08%","True","13.69348%","11.93%","True","11.15175%","10.6400006%","True","0.98480004","0.0","$16.37","$14.48","$18.13","$16.3356","False","$16.30375","False","N/A","N/A"
PRAAX,"AllianzGI Mid-Cap Value Fund Ad","1998-08-30","Virtus","Mid-Cap Value","None","-12.078940000000001%","55.83%","False","3.6969299999999996%","11.08%","False","7.21409%","11.93%","False","9.30596%","10.6400006%","False","1.0075","0.0","$26.480001","$23.86","$35.19","$26.561","True","$30.0727","True","N/A","N/A"
PQNAX,"AllianzGI Mid-Cap Value Fund Cl","1991-01-31","Virtus","Mid-Cap Value","None","-12.1578194%","55.83%","False","3.5896%","11.08%","False","7.109500000000001%","11.93%","False","9.19435%","10.6400006%","False","1.0075","0.0","$25.179998","$22.69","$33.85","$25.269","True","$28.8464","True","N/A","N/A"
PQNCX,"AllianzGI Mid-Cap Value Fund Cl","1988-04-17","Virtus","Mid-Cap Value","None","-12.837000000000002%","55.83%","False","2.8066002%","11.08%","False","6.299540400000001%","11.93%","False","8.3772495%","10.6400006%","False","1.0075","0.0","$18.07","$16.31","$26.45","$18.1788","True","$22.0934","True","N/A","N/A"
ANRPX,"AllianzGI Mid-Cap Value Fund Cl","2011-02-27","Virtus","Mid-Cap Value","None","-14.03604%","55.83%","False","3.09584%","11.08%","False","7.05621%","11.93%","False","9.568360400000001%","10.6400006%","False","0.995","0.0","$17.2","$15.49","$25.59","$17.2964","True","$21.3745","True","N/A","N/A"
