Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
QUAYX,"AB Cap Fund, Inc. - AB Small Ca","1996-09-30","AllianceBernstein","Small Growth","None","-15.808720000000001%","55.689995999999994%","False","14.279990000000002%","19.34%","False","18.89331%","20.719999%","False","13.77215%","13.98%","False","0.9785","0.0","$58.57","$49.62","$70.67","$56.3628","False","$55.33015","False","N/A","N/A"
QUASX,"AB Cap Fund, Inc. - AB Small Ca","1969-02-11","AllianceBernstein","Small Growth","None","-16.64219%","55.689995999999994%","False","3.1447303000000004%","19.34%","False","12.079460000000001%","20.719999%","False","11.331239%","13.98%","False","0.9913","0.0","$50.82","$43.13","$61.47","$48.9204","False","$48.0604","False","N/A","N/A"
QUACX,"AB Cap Fund, Inc. - AB Small Ca","1993-05-02","AllianceBernstein","Small Growth","None","-17.267758999999998%","55.689995999999994%","False","2.37188%","19.34%","False","11.2438805%","20.719999%","False","10.49597%","13.98%","False","0.9913","0.0","$22.58","$19.27","$27.5","$21.7524","False","$21.41795","False","N/A","N/A"
QUAIX,"AB Cap Fund, Inc. - AB Small Ca","2005-02-28","AllianceBernstein","Small Growth","None","-16.361819999999998%","55.689995999999994%","False","3.4301199999999996%","19.34%","False","12.3736896%","20.719999%","False","11.65968%","13.98%","False","0.9913","0.0","$58.24","$49.3","$70.22","$56.0456","False","$54.99865","False","N/A","N/A"
QUAKX,"AB Cap Fund, Inc. - AB Small Ca","2005-02-28","AllianceBernstein","Small Growth","None","-16.538639999999997%","55.689995999999994%","False","3.2308999999999997%","19.34%","False","12.14404%","20.719999%","False","11.38766%","13.98%","False","0.9913","0.0","$52.960003","$44.91","$63.99","$50.9772","False","$50.06255","False","N/A","N/A"
QUARX,"AB Cap Fund, Inc. - AB Small Ca","2005-02-28","AllianceBernstein","Small Growth","None","-16.85256%","55.689995999999994%","False","2.7955402%","19.34%","False","11.6684705%","20.719999%","False","10.9585896%","13.98%","False","0.9913","0.0","$47.45","$40.33","$57.52","$45.6872","False","$44.9078","False","N/A","N/A"
MLSAX,"Aberdeen Focused U.S. Equity Fu","2001-10-30","Aberdeen","Small Growth","None","-26.390530000000002%","55.689995999999994%","False","6.1879802%","19.34%","False","9.74596%","20.719999%","False","7.0489705%","13.98%","False","0.9842","0.0","$6.6","$5.76","$7.59","$6.6116","True","$6.41855","False","101.0%","N/A"
MLSCX,"Aberdeen Focused U.S. Equity Fu","1997-12-30","Aberdeen","Small Growth","None","-7.8274995%","55.689995999999994%","False","14.24313%","19.34%","False","11.5910195%","20.719999%","False","7.79021%","13.98%","False","0.9842","0.0","$0.96000004","$0.8","$1.05","$0.882","False","$0.9203478","False","101.0%","N/A"
GLSRX,"Aberdeen Focused U.S. Equity Fu","2004-02-26","Aberdeen","Small Growth","None","-26.519340000000003%","55.689995999999994%","False","5.90798%","19.34%","False","9.4374396%","20.719999%","False","6.6942699999999995%","13.98%","False","0.9842","0.0","$5.63","$4.93","$6.5","$5.6474","True","$5.4882","False","101.0%","N/A"
GGUIX,"Aberdeen Focused U.S. Equity Fu","2004-06-28","Aberdeen","Small Growth","None","-26.1242%","55.689995999999994%","False","6.556439999999999%","19.34%","False","10.13511%","20.719999%","False","7.41081%","13.98%","False","0.9842","0.0","$7.32","$6.38","$8.4","$7.3344","True","$7.1131","False","101.0%","N/A"
