Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
ABYSX,"AB Discovery Value Fund Advisor","2001-03-28","AllianceBernstein","Small Value","None","-1.55178%","71.01999500000001%","False","10.44102%","9.35%","True","7.0279896%","12.1700004%","False","9.41967%","9.950000000000001%","False","0.9977","0.0","$22.08","$19.8","$25.46","$21.7092","False","$21.86145","False","N/A","N/A"
ABASX,"AB Discovery Value Fund Class A","2001-03-28","AllianceBernstein","Small Value","None","-1.76247%","71.01999500000001%","False","10.167819999999999%","9.35%","True","6.769310000000001%","12.1700004%","False","9.133230000000001%","9.950000000000001%","False","0.9977","0.0","$21.400002","$19.2","$24.72","$21.0478","False","$21.1999","False","N/A","N/A"
ABCSX,"AB Discovery Value Fund Class C","2001-03-28","AllianceBernstein","Small Value","None","-2.53504%","71.01999500000001%","False","9.350879500000001%","9.35%","True","5.96402%","12.1700004%","False","8.32903%","9.950000000000001%","False","0.9977","0.0","$17.869999","$16.06","$20.89","$17.5898","False","$17.8186","False","N/A","N/A"
ABSIX,"AB Discovery Value Fund Class I","2005-02-28","AllianceBernstein","Small Value","None","6.406750499999999%","71.01999500000001%","False","12.646599%","9.35%","True","10.684261000000001%","12.1700004%","False","10.90448%","9.950000000000001%","True","0.9933","0.0","$21.17","$18.99","$24.48","$20.821","False","$21.005","False","N/A","N/A"
ABSKX,"AB Discovery Value Fund Class K","2005-02-28","AllianceBernstein","Small Value","None","-1.90768%","71.01999500000001%","False","10.03309%","9.35%","True","6.64547%","12.1700004%","False","9.045961%","9.950000000000001%","False","0.9977","0.0","$21.0","$18.85","$24.27","$20.6594","False","$20.80565","False","N/A","N/A"
ABSRX,"AB Discovery Value Fund Class R","2003-11-02","AllianceBernstein","Small Value","None","-2.1618399999999998%","71.01999500000001%","False","9.717029%","9.35%","True","6.3282099999999994%","12.1700004%","False","8.7133504%","9.950000000000001%","False","0.9977","0.0","$20.55","$18.45","$23.78","$20.2166","False","$20.3584","False","N/A","N/A"
ADKSX,"The Adirondack Small Cap Fund","2005-04-05","Adirondack Funds","Small Value","None","8.524589%","71.01999500000001%","False","10.5035%","9.35%","True","8.14524%","12.1700004%","False","8.392420000000001%","9.950000000000001%","False","0.9857","0.0","$24.86","$18.82","$25.48","$24.1704","False","$22.0169","False","N/A","N/A"
HUSEX,"Huber Capital Small Cap Velue F","2011-10-24","Huber Funds","Small Value","None","2.41228%","71.01999500000001%","False","6.90011%","9.35%","False","6.94332%","12.1700004%","False","5.9266%","9.950000000000001%","False","0.9796","0.0","$24.08","$20.18","$24.78","$23.5132","False","$22.89135","False","N/A","N/A"
HUSIX,"Huber Capital Small Cap Value F","2007-06-28","Huber Funds","Small Value","None","8.91206%","71.01999500000001%","False","14.51623%","9.35%","True","11.290309599999999%","12.1700004%","False","7.31464%","9.950000000000001%","False","0.98660004","0.0","$23.79","$19.95","$24.49","$23.2292","False","$22.62325","False","N/A","N/A"
ICSCX,"ICM Small Company Portfolio Ins","1989-04-18","William Blair","Small Value","None","1.7237999%","71.01999500000001%","False","9.995289999999999%","9.35%","True","8.024610000000001%","12.1700004%","False","10.149319499999999%","9.950000000000001%","True","0.9797","0.0","$30.31","$26.96","$33.09","$29.5036","False","$29.84395","False","N/A","N/A"
AVALX,"Aegis Value Fd Inc","1998-05-14","Aegis","Small Value","None","12.58544%","71.01999500000001%","False","21.87912%","9.35%","True","14.227829999999999%","12.1700004%","True","11.25418%","9.950000000000001%","True","0.9732","0.0","$34.850002","$25.03","$36.81","$33.9908","False","$31.416","False","N/A","N/A"
VSCAX,"Invesco Small Cap Value Fd Cl A","1999-06-20","Invesco","Small Value","None","1.4729199%","71.01999500000001%","False","16.669519%","9.35%","True","10.18223%","12.1700004%","False","11.41323%","9.950000000000001%","True","0.9432","0.0","$18.849998","$15.86","$20.27","$18.3304","False","$18.07415","False","N/A","N/A"
VSMCX,"Invesco Small Cap Value Fd Cl C","1999-06-20","Invesco","Small Value","None","0.63933004%","71.01999500000001%","False","15.810270000000001%","9.35%","True","9.3694404%","12.1700004%","False","10.5943605%","9.950000000000001%","True","0.9432","0.0","$9.38","$8.4","$11.05","$9.1216","False","$9.59975","True","N/A","N/A"
VSMIX,"Invesco Small Cap Value Class Y","2005-08-11","Invesco","Small Value","None","20.968239999999998%","71.01999500000001%","False","22.38063%","9.35%","True","15.053759999999999%","12.1700004%","True","12.96849%","9.950000000000001%","True","0.97760004","0.0","$20.51","$17.15","$21.88","$19.9348","False","$19.56345","False","N/A","N/A"
PVADX,"AllianzGI Small-Cap Value Fund ","1995-10-31","Virtus","Small Value","None","-15.91812%","71.01999500000001%","False","0.06562%","9.35%","False","1.55046%","12.1700004%","False","5.000439999999999%","9.950000000000001%","False","0.9926","0.0","$11.870001","$10.56","$14.8","$11.755","False","$12.77275","True","N/A","N/A"
PCVAX,"AllianzGI Small-Cap Value Fund ","1997-01-19","Virtus","Small Value","None","-15.973501%","71.01999500000001%","False","-0.03145%","9.35%","False","1.4514901%","12.1700004%","False","4.86918%","9.950000000000001%","False","0.9926","0.0","$11.860001","$10.56","$14.82","$11.7534","False","$12.7815","True","N/A","N/A"
PCVCX,"AllianzGI Small-Cap Value Fund ","1997-01-19","Virtus","Small Value","None","-16.5973%","71.01999500000001%","False","-0.77764%","9.35%","False","0.7064%","12.1700004%","False","4.09192%","9.950000000000001%","False","0.9926","0.0","$9.99","$8.91","$12.88","$9.9092","False","$10.9988","True","N/A","N/A"
PSVIX,"AllianzGI Small-Cap Value Fund ","1991-09-30","Virtus","Small Value","None","2.4430498%","71.01999500000001%","False","7.7905%","9.35%","False","7.1728700000000005%","12.1700004%","False","7.0981205%","9.950000000000001%","False","0.98480004","0.0","$14.87","$13.24","$17.94","$14.7234","False","$15.6115","True","N/A","N/A"
ASVPX,"AllianzGI Small-Cap Value Fund ","2008-07-06","Virtus","Small Value","None","-17.481830000000002%","71.01999500000001%","False","-0.59998%","9.35%","False","1.3987699500000002%","12.1700004%","False","5.331799999999999%","9.950000000000001%","False","0.9993","0.0","$14.64","$13.03","$17.69","$14.493","False","$15.3865","True","N/A","N/A"
PNVRX,"AllianzGI Small-Cap Value Fund ","2002-12-30","Virtus","Small Value","None","54.71%","71.01999500000001%","False","3.75%","9.35%","False","4.9099997%","12.1700004%","False","6.7299999999999995%","9.950000000000001%","False","0.98050004","0.0","$17.599998","$11.61","$17.97","$17.654062","True","$16.165682","False","N/A","N/A"
AASSX,"American Beacon Small Cap Value","2003-04-30","American Beacon","Small Value","None","-10.0131996%","71.01999500000001%","False","6.0686696%","9.35%","False","4.7547497000000005%","12.1700004%","False","8.9136295%","9.950000000000001%","False","0.96","0.0","$22.82","$20.46","$27.43","$22.3554","False","$23.87705","True","N/A","N/A"
ABSAX,"American Beacon Small Cap Value","2010-05-16","American Beacon","Small Value","None","-9.94378%","71.01999500000001%","False","6.12844%","9.35%","False","4.8225299999999995%","12.1700004%","False","8.98322%","9.950000000000001%","False","0.96","0.0","$22.55","$20.22","$27.14","$22.093","False","$23.62175","True","N/A","N/A"
