Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
AMTYX,"AB Bond Fund, Inc. - AB All Mar","2010-03-07","AllianceBernstein","World Large-Stock Blend","None","-4.942019999999999%","38.009998%","False","6.36448%","12.740000000000002%","False","5.3231202%","12.82%","False","1.064%","9.0500005%","False","0.709","0.0","$8.8","$8.53","$10.83","$8.8552","True","$9.31005","True","N/A","N/A"
AMTOX,"AB Bond Fund, Inc. - AB All Mar","2010-03-07","AllianceBernstein","World Allocation","None","-5.1006097%","25.330000000000002%","False","6.28176%","8.02%","False","5.25042%","8.06%","False","0.9489799999999999%","6.0300004%","False","0.709","0.0","$8.62","$8.35","$10.62","$8.6724","True","$9.12025","True","N/A","N/A"
AMTTX,"AB Bond Fund, Inc. - AB All Mar","2010-03-07","AllianceBernstein","World Allocation","None","24.704081%","25.330000000000002%","False","12.56782%","8.02%","True","9.7868994%","8.06%","True","2.5664599999999997%","6.0300004%","False","0.8061","0.0","$8.86","$8.59","$10.9","$8.9164","True","$9.37285","True","N/A","N/A"
AMTAX,"AB Bond Fund, Inc. - AB All Mar","2010-03-07","AllianceBernstein","World Allocation","None","-5.12885%","25.330000000000002%","False","6.114079800000001%","8.02%","False","5.051159999999999%","8.06%","False","0.8014%","6.0300004%","False","0.709","0.0","$8.820001","$8.55","$10.86","$8.8768","True","$9.32565","True","N/A","N/A"
ACMTX,"AB Bond Fund, Inc. - AB All Mar","2010-03-07","AllianceBernstein","World Allocation","None","-5.92423%","25.330000000000002%","False","5.33301%","8.02%","False","4.25939%","8.06%","False","0.057810004%","6.0300004%","False","0.709","0.0","$9.02","$8.75","$11.1","$9.0826","True","$9.52005","True","N/A","N/A"
AMTIX,"AB Bond Fund, Inc. - AB All Mar","2010-03-07","AllianceBernstein","World Large-Stock Blend","None","-4.9439996%","38.009998%","False","6.52538%","12.740000000000002%","False","5.4853%","12.82%","False","1.1782399000000001%","9.0500005%","False","0.709","0.0","$8.690001","$8.42","$10.71","$8.7426","True","$9.1992","True","N/A","N/A"
AMTKX,"AB Bond Fund, Inc. - AB All Mar","2010-03-07","AllianceBernstein","World Large-Stock Blend","None","-5.31884%","38.009998%","False","6.0943499999999995%","12.740000000000002%","False","5.0412897%","12.82%","False","0.7988000000000001%","9.0500005%","False","0.709","0.0","$8.7","$8.44","$10.72","$8.7604","True","$9.2023","True","N/A","N/A"
AMTRX,"AB Bond Fund, Inc. - AB All Mar","2010-03-07","AllianceBernstein","World Large-Stock Blend","None","-5.47713%","38.009998%","False","5.79084%","12.740000000000002%","False","4.7532%","12.82%","False","0.53388%","9.0500005%","False","0.709","0.0","$8.88","$8.61","$10.9","$8.938","True","$9.3619","True","N/A","N/A"
ABNYX,"AB Bond Fund, Inc. - AB Bond In","2010-01-25","AllianceBernstein","Inflation-Protected Bond","None","-4.9536999999999995%","7.04%","False","2.25833%","5.9299998%","False","2.73439%","3.88%","False","1.8114700000000001%","2.8499998%","False","0.0002","0.026700001","$10.36","$10.2","$11.99","$10.4244","True","$10.6464","True","N/A","N/A"
ABNOX,"AB Bond Fund, Inc. - AB Bond In","2010-01-25","AllianceBernstein","Inflation-Protected Bond","None","-5.06234%","7.04%","False","2.15768%","5.9299998%","False","2.63061%","3.88%","False","1.70714%","2.8499998%","False","0.0002","0.026700001","$10.12","$9.96","$11.74","$10.1764","True","$10.4006","True","N/A","N/A"
ABNTX,"AB Bond Fund, Inc. - AB Bond In","2010-01-25","AllianceBernstein","Inflation-Protected Bond","None","3.15939%","7.04%","False","6.0623597%","5.9299998%","True","4.24623%","3.88%","True","2.8407801%","2.8499998%","False","0.0","0.5301","$10.11","$9.96","$11.73","$10.173","True","$10.3957","True","N/A","N/A"
ABNAX,"AB Bond Fund, Inc. - AB Bond In","2010-01-25","AllianceBernstein","Inflation-Protected Bond","None","-5.1550899999999995%","7.04%","False","2.0129599000000002%","5.9299998%","False","2.4832102000000003%","3.88%","False","1.54826%","2.8499998%","False","0.0002","0.026700001","$10.35","$10.19","$11.98","$10.4086","True","$10.6327","True","N/A","N/A"
ABNCX,"AB Bond Fund, Inc. - AB Bond In","2010-01-25","AllianceBernstein","Inflation-Protected Bond","None","-5.92132%","7.04%","False","1.2379901%","5.9299998%","False","1.7075%","3.88%","False","0.79368%","2.8499998%","False","0.0002","0.026700001","$10.01","$9.87","$11.62","$10.0708","True","$10.29785","True","N/A","N/A"
ANBIX,"AB Bond Fund, Inc. - AB Bond In","2010-01-25","AllianceBernstein","Inflation-Protected Bond","None","-4.91744%","7.04%","False","2.2629%","5.9299998%","False","2.7501700000000002%","3.88%","False","1.8173700000000002%","2.8499998%","False","0.0002","0.026700001","$10.2300005","$10.07","$11.85","$10.2908","True","$10.51215","True","N/A","N/A"
ABNKX,"AB Bond Fund, Inc. - AB Bond In","2010-01-25","AllianceBernstein","Inflation-Protected Bond","None","-5.15378%","7.04%","False","2.0099498000000002%","5.9299998%","False","2.4714199999999997%","3.88%","False","1.55222%","2.8499998%","False","0.0002","0.026700001","$10.34","$10.18","$11.97","$10.4032","True","$10.62595","True","N/A","N/A"
ABNRX,"AB Bond Fund, Inc. - AB Bond In","2010-01-25","AllianceBernstein","Inflation-Protected Bond","None","-5.38793%","7.04%","False","1.7648199999999998%","5.9299998%","False","2.2404699%","3.88%","False","1.3171298999999999%","2.8499998%","False","0.0002","0.026700001","$10.38","$10.22","$12.01","$10.444","True","$10.6672","True","N/A","N/A"
ACGYX,"AB Income Fund - ADV","1987-08-27","AllianceBernstein","Intermediate Core-Plus Bond","None","-10.32836%","3.06%","False","-3.11414%","5.6900002%","False","1.04091%","3.75%","False","0.0%","3.8399997999999997%","False","0.0036000002","0.2583","$6.35","$6.12","$7.53","$6.5282","True","$6.5912","True","N/A","N/A"
ALHYX,"AB Bond Fund, Inc. - AB Limited","2011-12-06","AllianceBernstein","Multisector Bond","None","-1.21278%","9.229999999999999%","False","2.8104601%","5.2299999999999995%","False","3.94926%","4.63%","False","4.0548902%","4.32%","False","0.0014","0.8657","$8.860001","$8.71","$9.77","$8.9276","True","$8.99645","True","N/A","N/A"
ALHAX,"AB Bond Fund, Inc. - AB Limited","2011-12-06","AllianceBernstein","Multisector Bond","None","-3.7038300000000004%","9.229999999999999%","False","0.084020005%","5.2299999999999995%","False","2.1596300999999998%","4.63%","False","2.69949%","4.32%","False","0.0011999999","0.3176","$8.87","$8.72","$9.79","$8.9408","True","$9.011","True","N/A","N/A"
ALHCX,"AB Bond Fund, Inc. - AB Limited","2011-12-06","AllianceBernstein","Multisector Bond","None","-4.53083%","9.229999999999999%","False","-0.67155%","5.2299999999999995%","False","1.37698%","4.63%","False","1.9473799%","4.32%","False","0.0011999999","0.3176","$8.87","$8.72","$9.78","$8.9356","True","$9.00525","True","N/A","N/A"
ALIHX,"AB Bond Fund, Inc. - AB Limited","2011-12-06","AllianceBernstein","Multisector Bond","None","-3.46743%","9.229999999999999%","False","0.32250999999999996%","5.2299999999999995%","False","2.4052000000000002%","4.63%","False","2.9816697999999997%","4.32%","False","0.0011999999","0.3176","$8.87","$8.72","$9.79","$8.9406","True","$9.0106","True","N/A","N/A"
ALHKX,"AB Bond Fund, Inc. - AB Limited","2011-12-06","AllianceBernstein","Multisector Bond","None","-3.52892%","9.229999999999999%","False","0.16654%","5.2299999999999995%","False","2.2020600000000004%","4.63%","False","2.7344899999999996%","4.32%","False","0.0011999999","0.3176","$8.87","$8.72","$9.78","$8.9392","True","$9.00835","True","N/A","N/A"
ALHRX,"AB Bond Fund, Inc. - AB Limited","2011-12-06","AllianceBernstein","Multisector Bond","None","-3.53892%","9.229999999999999%","False","0.05716%","5.2299999999999995%","False","2.00286%","4.63%","False","2.52192%","4.32%","False","0.0011999999","0.3176","$8.87","$8.72","$9.78","$8.9388","True","$9.00775","True","N/A","N/A"
AUNYX,"AB Bond Fund, Inc. - AB Municip","2010-01-25","AllianceBernstein","Muni National Short","None","-0.88882%","1.72%","False","2.6534999999999997%","2.21%","True","2.77106%","1.47%","True","1.82307%","1.49%","True","0.0","0.0057","$10.57","$10.12","$11.13","$10.5524","False","$10.53575","False","N/A","N/A"
AUNOX,"AB Bond Fund, Inc. - AB Municip","2010-01-25","AllianceBernstein","Muni National Short","None","-1.0452599%","1.72%","False","2.5361097999999997%","2.21%","True","2.6564099%","1.47%","True","1.7105100000000002%","1.49%","True","0.0","0.0057","$10.5","$10.05","$11.06","$10.4806","False","$10.4667","False","N/A","N/A"
