Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
AIAGX,"Aberdeen Realty Income and Grow","2011-12-29","Aberdeen","Real Estate","None","-12.86454%","36.79%","False","0.80208%","10.8100004%","False","4.9233798%","7.0300005%","False","6.81603%","9.08%","False","0.9899","0.0","$10.67","$9.97","$14.64","$10.7494","True","$11.33375","True","N/A","N/A"
AIGYX,"Aberdeen Realty Income and Grow","1998-12-28","Aberdeen","Real Estate","None","24.810779%","36.79%","False","10.81575%","10.8100004%","True","8.7988004%","7.0300005%","True","9.86179%","9.08%","True","1.0","0.0","$10.73","$10.02","$14.71","$10.807","True","$11.38745","True","N/A","N/A"
GGHCX,"Invesco Global Health Care Fund","1989-08-06","Invesco","Health","None","-13.85035%","30.159999999999997%","False","3.6211699999999998%","16.1%","False","9.2453696%","15.709999999999999%","False","10.3810996%","15.27%","False","0.9598","0.0","$32.989998","$30.48","$38.17","$34.053","True","$33.5914","True","N/A","N/A"
GTHCX,"Invesco Global Health Care Fd C","1999-02-28","Invesco","Health","None","-14.47683%","30.159999999999997%","False","2.8561799%","16.1%","False","8.430190399999999%","15.709999999999999%","False","9.559009%","15.27%","False","0.9598","0.0","$16.96","$15.75","$19.75","$17.5172","True","$17.31815","True","N/A","N/A"
GGHYX,"Invesco Global Health Care Fund","2008-10-02","Invesco","Health","None","-13.63963%","30.159999999999997%","False","3.88357%","16.1%","False","9.51951%","15.709999999999999%","False","10.65646%","15.27%","False","0.9598","0.0","$34.25","$31.59","$39.55","$35.351","True","$34.84565","True","N/A","N/A"
GTHIX,"Invesco Global Health Care Fund","2005-07-14","Invesco","Health","None","-13.846919999999999%","30.159999999999997%","False","3.62054%","16.1%","False","9.24353%","15.709999999999999%","False","10.37867%","15.27%","False","0.9598","0.0","$32.99","$30.48","$38.18","$34.0618","True","$33.6002","True","N/A","N/A"
IARAX,"Invesco Real Estate Fund Class ","1996-12-30","Invesco","Real Estate","None","-11.448949599999999%","36.79%","False","-0.03957%","10.8100004%","False","4.86093%","7.0300005%","False","6.1767403%","9.08%","False","0.9906","0.0","$16.929998","$16.19","$23.82","$17.2936","True","$18.71255","True","0.0%","N/A"
IARCX,"Invesco Real Estate Fund Class ","1995-04-30","Invesco","Real Estate","None","-12.093720600000001%","36.79%","False","-0.78181%","10.8100004%","False","4.0762%","7.0300005%","False","5.38258%","9.08%","False","0.9906","0.0","$16.8","$16.08","$23.65","$17.1654","True","$18.57725","True","0.0%","N/A"
IARRX,"Invesco Real Estate Fund Class ","2004-04-29","Invesco","Real Estate","None","-11.6564795%","36.79%","False","-0.28319%","10.8100004%","False","4.5966502%","7.0300005%","False","5.9131198000000005%","9.08%","False","0.9906","0.0","$16.97","$16.22","$23.87","$17.329","True","$18.747","True","0.0%","N/A"
IARIX,"Invesco Real Estate Fund Class ","2004-04-29","Invesco","Real Estate","None","-11.1003704%","36.79%","False","0.34868%","10.8100004%","False","5.2561596%","7.0300005%","False","6.575830000000001%","9.08%","False","0.9906","0.0","$16.92","$16.16","$23.8","$17.2742","True","$18.69855","True","0.0%","N/A"
IARFX,"Invesco Real Estate Fund Cl R6","2012-09-23","Invesco","Real Estate","None","-11.051590000000001%","36.79%","False","0.42010996999999994%","10.8100004%","False","5.3386502%","7.0300005%","False","6.6632%","9.08%","False","0.9906","0.0","$16.92","$16.16","$23.79","$17.2686","True","$18.6927","True","0.0%","N/A"
IARYX,"Invesco  Real Estate Fund Class","2008-10-02","Invesco","Real Estate","None","-11.22106%","36.79%","False","0.22061%","10.8100004%","False","5.12254%","7.0300005%","False","6.442810000000001%","9.08%","False","0.9906","0.0","$16.92","$16.17","$23.8","$17.276","True","$18.69705","True","0.0%","N/A"
REINX,"Invesco Real Estate Fund Invest","2003-09-29","Invesco","Real Estate","None","-11.4519395%","36.79%","False","-0.00944%","10.8100004%","False","4.88524%","7.0300005%","False","6.19595%","9.08%","False","0.9906","0.0","$16.869999","$16.12","$23.74","$17.2252","True","$18.64695","True","0.0%","N/A"
ITYAX,"Invesco Technology Fd Cl A Shs","2002-03-27","Invesco","Technology","None","-40.45782%","53.900003%","False","0.0745%","27.500000000000004%","False","10.37613%","28.799999999999997%","False","10.3909105%","18.740000000000002%","False","0.96839994","0.0","$39.02","$34.34","$54.21","$37.8806","False","$39.76595","True","476.99999999999994%","N/A"
ITHCX,"Invesco Technology Fd Cl C Shs","2000-02-13","Invesco","Technology","None","-40.90374%","53.900003%","False","-0.68289%","27.500000000000004%","False","9.54181%","28.799999999999997%","False","9.5638506%","18.740000000000002%","False","0.96839994","0.0","$25.320002","$22.51","$35.73","$24.6036","False","$26.0504","True","476.99999999999994%","N/A"
FTPIX,"Invesco Technology Fd Cl R5","1998-12-20","Invesco","Technology","None","-40.272608%","53.900003%","False","0.38813%","27.500000000000004%","False","10.781749999999999%","28.799999999999997%","False","10.87481%","18.740000000000002%","False","0.96839994","0.0","$51.29","$44.93","$70.78","$49.7766","False","$52.0553","True","476.99999999999994%","N/A"
ITYYX,"Invesco Technology Fund Class Y","2008-10-02","Invesco","Technology","None","-1.2603399%","53.900003%","False","19.27035%","27.500000000000004%","False","19.448%","28.799999999999997%","False","13.51387%","18.740000000000002%","False","0.9967","0.0","$40.55","$35.65","$56.18","$39.3618","False","$41.27025","True","476.99999999999994%","N/A"
FTCHX,"Invesco Technology Fund Investo","1984-01-18","Invesco","Technology","None","-40.39004%","53.900003%","False","0.18897%","27.500000000000004%","False","10.4891%","28.799999999999997%","False","10.498591%","18.740000000000002%","False","0.96839994","0.0","$38.920002","$34.25","$54.03","$37.7858","False","$39.6522","True","476.99999999999994%","N/A"
AHSAX,"Alger Health Sciences Fund Clas","2002-04-30","Alger","Health","None","-17.74131%","30.159999999999997%","False","3.0105199999999996%","16.1%","False","11.81334%","15.709999999999999%","False","12.4137804%","15.27%","False","0.9149","0.0","$20.57","$18.28","$23.81","$20.9702","True","$20.46145","False","375.0%","N/A"
AHSCX,"Alger Health Sciences Fund Clas","2002-04-30","Alger","Health","None","-18.44059%","30.159999999999997%","False","2.2048099000000003%","16.1%","False","10.9489%","15.709999999999999%","False","11.5528494%","15.27%","False","0.9149","0.0","$12.870001","$11.5","$15.0","$13.1266","True","$12.83745","False","375.0%","N/A"
AWTAX,"AllianzGI Water Fund Class A","2008-03-30","Virtus","Natural Resources","None","-7.1191%","63.77%","False","5.3733803%","9.959999999999999%","False","8.83706%","11.510000400000001%","False","7.68839%","3.4299999999999997%","True","0.984","0.0","$18.32","$15.72","$20.11","$18.517","True","$17.71675","False","N/A","N/A"
AWTCX,"AllianzGI Water Fund Class C","2008-03-30","Virtus","Natural Resources","None","-7.79289%","63.77%","False","4.59396%","9.959999999999999%","False","8.03152%","11.510000400000001%","False","6.8742%","3.4299999999999997%","True","0.984","0.0","$17.23","$14.76","$18.96","$17.4236","True","$16.6572","False","N/A","N/A"
AWTPX,"AllianzGI Water Fund Class P","2008-03-30","Virtus","Natural Resources","None","-6.847580000000001%","63.77%","False","5.660769999999999%","9.959999999999999%","False","9.13935%","11.510000400000001%","False","7.96566%","3.4299999999999997%","True","0.984","0.0","$18.5","$15.84","$20.23","$18.693","True","$17.85465","False","N/A","N/A"
AWTIX,"AllianzGI Water Fund Institutio","2008-07-14","Virtus","Natural Resources","None","-6.8205096%","63.77%","False","5.6811300000000005%","9.959999999999999%","False","9.145100000000001%","11.510000400000001%","False","8.00272%","3.4299999999999997%","True","0.984","0.0","$17.94","$15.43","$19.71","$18.1284","True","$17.3717","False","N/A","N/A"
RAGHX,"AllianzGI Health Sciences Fund ","2002-02-04","Virtus","Health","None","-11.1768596%","30.159999999999997%","False","8.071259999999999%","16.1%","False","11.58422%","15.709999999999999%","False","12.73215%","15.27%","False","0.9743","0.0","$27.01","$26.78","$34.01","$28.0314","True","$29.2426","True","N/A","N/A"
RCGHX,"AllianzGI Health Sciences Fund ","2002-02-04","Virtus","Health","None","-11.8402004%","30.159999999999997%","False","7.268000400000001%","16.1%","False","10.76015%","15.709999999999999%","False","11.891889599999999%","15.27%","False","0.9743","0.0","$15.950001","$15.81","$21.42","$16.5834","True","$18.107","True","N/A","N/A"
DGTAX,"AllianzGI Technology Fd Adminis","2005-03-30","Virtus","Technology","None","-43.27537%","53.900003%","False","2.6884502%","27.500000000000004%","False","13.696539999999999%","28.799999999999997%","False","14.75055%","18.740000000000002%","False","0.97940004","0.0","$38.39","$32.41","$63.42","$36.9538","False","$44.70665","True","N/A","N/A"
