Ticker,Name,Price,Expense Ratio,Category,Morning Star Rating,Net Assets,Holdings Turnover,Inception Date,Fund Family,Cash,Stocks,Bonds,Others,Preferred,Convertable,Basic Materials,Consumer Cyclical,Financial Services,Realestate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology,Number Years Up,Number Years Down,YTD,1-Month,3-Month,1-Year,3-Year,5-Year,10-Year,Inception,Minimum Initial Investment,Minimum Subsequent Investment,Mutual Fund,ETF,Capture Date
CHCLX,AB Discovery Growth Fund Class A,14.54,96.00,Mid-Cap Growth,4,2.92B,80.00,1938-07-06,AllianceBernstein,1.32,98.63,0.00,0.05,0.00,0.00,1.15,11.38,5.97,0.75,5.85,26.54,0.02,0.03,0.00,14.76,33.53,57,24,26.65,1.43,5.57,36.99,18.78,16.73,15.26,NULL,2500,50,True,False,2020-11-13
CABNX,AB Global Risk Allocation Fund Class A,17.72,1.37,Tactical Allocation,4,199.34M,3.00,1932-06-07,AllianceBernstein,13.79,30.79,55.24,0.01,0.17,0.00,6.82,8.13,14.88,4.14,10.49,11.83,7.66,5.35,4.87,11.10,14.74,67,20,0.23,-0.76,1.97,3.41,2.45,4.51,6.22,NULL,2500,50,True,False,2020-11-13
CABDX,AB Relative Value Fund Class A,5.34,0.90,Large Value,4,1.41B,77.00,1932-06-30,AllianceBernstein,6.39,93.61,0.00,0.00,0.00,0.00,0.82,8.18,20.44,2.48,8.03,18.38,0.00,10.35,2.79,16.00,12.53,68,19,-14.39,-1.63,-1.23,-10.85,1.52,5.30,9.73,NULL,2500,50,True,False,2020-11-13
ACEIX,Invesco Equity and Income Fund Class A,10.37,0.79,Allocation--50% to 70% Equity,3,10.93B,133.00,1960-08-02,Invesco,7.77,61.55,20.06,0.00,0.57,9.94,5.31,7.97,22.38,2.02,7.34,16.37,2.79,4.40,4.65,12.17,14.61,46,13,-5.76,-0.21,0.82,-1.23,1.76,5.01,7.34,NULL,1000,50,True,False,2020-11-13
ACGIX,Invesco Growth and Income Fund Class A,21.61,0.82,Large Value,2,4.42B,26.00,1946-07-31,Invesco,7.39,92.61,0.00,0.00,0.00,0.00,5.34,7.82,21.95,2.04,7.27,17.03,2.71,4.37,4.74,11.74,14.99,55,18,-16.39,-0.10,1.68,-10.63,-1.83,3.92,7.86,NULL,1000,50,True,False,2020-11-13
AMRGX,American Growth Fund Series One Class D,7.61,5.10,Large Growth,1,18.37M,0.00,1958-07-30,American Growth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41,20,2.04,-2.65,-2.65,8.37,9.32,9.06,9.86,NULL,0,0,True,False,2020-11-13
AMRMX,American Funds American Mutual Fund Class A,43.26,0.61,Large Value,5,60.96B,21.00,1950-02-20,American Funds,6.62,92.07,0.98,0.00,0.33,0.00,4.23,4.45,13.00,3.39,9.43,19.69,8.15,6.82,4.47,13.52,12.86,57,12,-6.22,-3.09,-2.00,-1.35,5.25,8.09,9.98,NULL,250,50,True,False,2020-11-13
IICAX,Asset Management Fund Large Cap Equity Fund Class AMF,8.91,1.94,Large Blend,3,39.23M,33.00,1953-06-29,AMF,3.71,96.29,0.00,0.00,0.00,0.00,1.88,9.56,14.11,2.86,9.91,14.56,1.62,9.73,2.62,8.80,24.34,52,14,-1.29,-3.40,0.56,4.96,6.62,10.09,10.54,NULL,2500,100,True,False,2020-11-13
DREVX,BNY Mellon Large Cap Securities Inc,14.65,0.72,Large Growth,2,1.38B,27.73,1951-05-23,BNY Mellon,0.80,99.20,0.00,0.00,0.00,0.00,1.97,12.81,14.49,0.00,4.52,15.75,3.04,7.17,1.45,10.87,27.93,53,15,11.14,-2.99,1.09,18.02,13.20,12.08,12.37,NULL,2500,100,True,False,2020-11-13
LOMMX,CGM Mutual Fund,25.96,1.12,Allocation--70% to 85% Equity,1,254.95M,442.00,1929-11-05,CGM,1.24,72.16,26.60,0.00,0.00,0.00,0.00,59.01,6.91,0.00,6.52,16.33,0.00,0.00,0.00,0.00,11.22,67,23,-4.65,-1.81,1.92,-4.98,-4.56,0.72,3.47,NULL,2500,50,True,False,2020-11-13
SCINX,DWS CROCI International Fund - Class S,44.71,0.91,Foreign Large Value,4,443.15M,68.00,1953-06-17,DWS,0.73,99.27,0.00,0.00,0.00,0.00,13.77,17.70,12.11,0.00,12.78,21.14,2.52,4.79,1.06,5.17,8.98,38,20,-14.87,-5.12,-3.78,-9.65,-3.82,1.42,2.56,NULL,2500,50,True,False,2020-11-13
SCDGX,DWS Core Equity Fund - Class S,30.35,0.57,Large Blend,3,3.6B,39.00,1929-05-30,DWS,1.21,98.79,0.00,0.00,0.00,0.00,1.47,13.81,11.40,3.14,6.17,14.50,2.58,10.27,1.76,8.80,26.10,41,16,-0.62,-2.69,-0.36,5.80,8.30,10.14,12.53,NULL,2500,50,True,False,2020-11-13
SCSBX,DWS Total Return Bond Fund - Class S,11.40,0.59,Intermediate Core-Plus Bond,3,452.2M,211.00,1928-04-23,DWS,6.10,0.00,91.46,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44,14,6.15,-0.25,-0.92,6.12,4.73,4.50,3.79,NULL,2500,50,True,False,2020-11-13
KTCAX,DWS Science and Technology Fund - Class A,32.73,0.93,Technology,3,1.13B,39.00,1948-09-06,DWS,1.47,98.48,0.00,0.05,0.00,0.00,0.00,11.38,10.45,0.00,0.00,2.63,0.00,15.71,0.00,2.49,57.34,51,20,25.57,-3.14,-0.10,35.52,20.81,20.38,15.81,NULL,1000,50,True,False,2020-11-13
